"","gene","comparison","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr","GO"
"157","rna-XM_027181196.1","control_vs_mid","NW_020844174.1","Gnomon","mRNA",302157,313995,".","-",".","ID=rna-XM_027181196.1;Parent=gene-LOC113665493;Dbxref=GeneID:113665493,Genbank:XM_027181196.1;Name=XM_027181196.1;gbkey=mRNA;gene=LOC113665493;model_evidence=Supporting evidence includes similarity to: 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 31 samples with support for all annotated introns;product=ribosomal protein S6 kinase beta-1-like%2C transcript variant X2;transcript_id=XM_027181196.1;pdam_00008116;Pocillopora damicornis;113665493;ribosomal protein S6 kinase beta-1-like","GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0007165"
"158","rna-XM_027181285.1","control_vs_mid","NW_020844184.1","Gnomon","mRNA",51526,78452,".","-",".","ID=rna-XM_027181285.1;Parent=gene-LOC113665571;Dbxref=GeneID:113665571,Genbank:XM_027181285.1;Name=XM_027181285.1;gbkey=mRNA;gene=LOC113665571;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns;product=G kinase-anchoring protein 1-like%2C transcript variant X1;transcript_id=XM_027181285.1;pdam_00021458;Pocillopora damicornis;113665571;G kinase-anchoring protein 1-like","GO:0005794,GO:0007165"
"159","rna-XM_027181428.1","control_vs_mid","NW_020844218.1","Gnomon","mRNA",257153,258854,".","-",".","ID=rna-XM_027181428.1;Parent=gene-LOC113665701;Dbxref=GeneID:113665701,Genbank:XM_027181428.1;Name=XM_027181428.1;gbkey=mRNA;gene=LOC113665701;model_evidence=Supporting evidence includes similarity to: 20 Proteins%2C and 80%25 coverage of the annotated genomic feature by RNAseq alignments;product=tyrosine kinase receptor Cad96Ca-like;transcript_id=XM_027181428.1;pdam_00014851;Pocillopora damicornis;113665701;tyrosine kinase receptor Cad96Ca-like","GO:0004672,GO:0004713,GO:0005524,GO:0006468"
"160","rna-XM_027181429.1","control_vs_mid","NW_020844218.1","Gnomon","mRNA",259099,262502,".","+",".","ID=rna-XM_027181429.1;Parent=gene-LOC113665702;Dbxref=GeneID:113665702,Genbank:XM_027181429.1;Name=XM_027181429.1;gbkey=mRNA;gene=LOC113665702;model_evidence=Supporting evidence includes similarity to: 22 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 14 samples with support for all annotated introns;partial=true;product=tyrosine-protein kinase receptor Tie-1-like;start_range=.,259099;transcript_id=XM_027181429.1;pdam_00014852;Pocillopora damicornis;113665702;tyrosine-protein kinase receptor Tie-1-like","GO:0004672,GO:0006468"
"161","rna-XM_027181688.1","control_vs_mid","NW_020844266.1","Gnomon","mRNA",691358,709095,".","+",".","ID=rna-XM_027181688.1;Parent=gene-LOC113665947;Dbxref=GeneID:113665947,Genbank:XM_027181688.1;Name=XM_027181688.1;gbkey=mRNA;gene=LOC113665947;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns;product=E3 ubiquitin-protein ligase MARCH6-like%2C transcript variant X1;transcript_id=XM_027181688.1;pdam_00004709;Pocillopora damicornis;113665947;E3 ubiquitin-protein ligase MARCH6-like","GO:0008270"
"162","rna-XM_027181806.1","control_vs_mid","NW_020843422.1","Gnomon","mRNA",2670,6133,".","-",".","ID=rna-XM_027181806.1;Parent=gene-LOC113666049;Dbxref=GeneID:113666049,Genbank:XM_027181806.1;Name=XM_027181806.1;gbkey=mRNA;gene=LOC113666049;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 14 samples with support for all annotated introns;product=uncharacterized LOC113666049%2C transcript variant X1;transcript_id=XM_027181806.1;pdam_00022714;Pocillopora damicornis;113666049;uncharacterized LOC113666049",""
"163","rna-XM_027182026.1","control_vs_mid","NW_020844335.1","Gnomon","mRNA",17395,20043,".","-",".","ID=rna-XM_027182026.1;Parent=gene-LOC113666264;Dbxref=GeneID:113666264,Genbank:XM_027182026.1;Name=XM_027182026.1;gbkey=mRNA;gene=LOC113666264;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 83%25 coverage of the annotated genomic feature by RNAseq alignments;product=TLD domain-containing protein 1-like;transcript_id=XM_027182026.1;pdam_00024496;Pocillopora damicornis;113666264;TLD domain-containing protein 1-like",""
"164","rna-XM_027182069.1","control_vs_mid","NW_020843427.1","Gnomon","mRNA",23215,25595,".","+",".","ID=rna-XM_027182069.1;Parent=gene-LOC113666299;Dbxref=GeneID:113666299,Genbank:XM_027182069.1;Name=XM_027182069.1;gbkey=mRNA;gene=LOC113666299;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns;product=uncharacterized LOC113666299;transcript_id=XM_027182069.1;;Pocillopora damicornis;113666299;uncharacterized LOC113666299",""
"165","rna-XM_027182137.1","control_vs_mid","NW_020844350.1","Gnomon","mRNA",205915,210694,".","-",".","ID=rna-XM_027182137.1;Parent=gene-LOC113666360;Dbxref=GeneID:113666360,Genbank:XM_027182137.1;Name=XM_027182137.1;gbkey=mRNA;gene=LOC113666360;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC113666360;transcript_id=XM_027182137.1;pdam_00016127;Pocillopora damicornis;113666360;uncharacterized LOC113666360",""
"166","rna-XM_027182155.1","control_vs_mid","NW_020844357.1","Gnomon","mRNA",89124,92981,".","-",".","ID=rna-XM_027182155.1;Parent=gene-LOC113666378;Dbxref=GeneID:113666378,Genbank:XM_027182155.1;Name=XM_027182155.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 1 base in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC113666378;model_evidence=Supporting evidence includes similarity to: 14 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 31 samples with support for all annotated introns;product=flavin-containing monooxygenase FMO GS-OX-like 4;transcript_id=XM_027182155.1;;Pocillopora damicornis;113666378;flavin-containing monooxygenase FMO GS-OX-like 4",""
"167","rna-XM_027182166.1","control_vs_mid","NW_020844357.1","Gnomon","mRNA",45268,51161,".","+",".","ID=rna-XM_027182166.1;Parent=gene-LOC113666387;Dbxref=GeneID:113666387,Genbank:XM_027182166.1;Name=XM_027182166.1;gbkey=mRNA;gene=LOC113666387;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 17 samples with support for all annotated introns;product=uncharacterized LOC113666387%2C transcript variant X1;transcript_id=XM_027182166.1;pdam_00017241;Pocillopora damicornis;113666387;uncharacterized LOC113666387",""
"168","rna-XM_027182272.1","control_vs_mid","NW_020844363.1","Gnomon","mRNA",259963,261707,".","+",".","ID=rna-XM_027182272.1;Parent=gene-LOC113666480;Dbxref=GeneID:113666480,Genbank:XM_027182272.1;Name=XM_027182272.1;gbkey=mRNA;gene=LOC113666480;model_evidence=Supporting evidence includes similarity to: 10 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns;product=melanocortin receptor 4-like;transcript_id=XM_027182272.1;pdam_00003165;Pocillopora damicornis;113666480;melanocortin receptor 4-like","GO:0004930,GO:0007186,GO:0016021"
"169","rna-XM_027182517.1","control_vs_mid","NW_020844410.1","Gnomon","mRNA",268011,269845,".","-",".","ID=rna-XM_027182517.1;Parent=gene-LOC113666729;Dbxref=GeneID:113666729,Genbank:XM_027182517.1;Name=XM_027182517.1;gbkey=mRNA;gene=LOC113666729;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=tachykinin-like peptides receptor 86C;transcript_id=XM_027182517.1;pdam_00008767;Pocillopora damicornis;113666729;tachykinin-like peptides receptor 86C","GO:0004930,GO:0007186,GO:0016021"
"170","rna-XM_027182547.1","control_vs_mid","NW_020844418.1","Gnomon","mRNA",359280,363451,".","+",".","ID=rna-XM_027182547.1;Parent=gene-LOC113666760;Dbxref=GeneID:113666760,Genbank:XM_027182547.1;Name=XM_027182547.1;gbkey=mRNA;gene=LOC113666760;model_evidence=Supporting evidence includes similarity to: 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 34 samples with support for all annotated introns;product=solute carrier family 52%2C riboflavin transporter%2C member 3-B-like;transcript_id=XM_027182547.1;pdam_00009250;Pocillopora damicornis;113666760;solute carrier family 52, riboflavin transporter, member 3-B-like","GO:0005337,GO:0005887,GO:0006810,GO:0016021,GO:0032217,GO:0032218"
"171","rna-XM_027183030.1","control_vs_mid","NW_020844494.1","Gnomon","mRNA",590571,592753,".","-",".","ID=rna-XM_027183030.1;Parent=gene-LOC113667226;Dbxref=GeneID:113667226,Genbank:XM_027183030.1;Name=XM_027183030.1;gbkey=mRNA;gene=LOC113667226;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 35 samples with support for all annotated introns;product=temperature-induced lipocalin-1-like;transcript_id=XM_027183030.1;;Pocillopora damicornis;113667226;temperature-induced lipocalin-1-like",""
"172","rna-XM_027183108.1","control_vs_mid","NW_020844495.1","Gnomon","mRNA",91029,97478,".","-",".","ID=rna-XM_027183108.1;Parent=gene-LOC113667294;Dbxref=GeneID:113667294,Genbank:XM_027183108.1;Name=XM_027183108.1;gbkey=mRNA;gene=LOC113667294;model_evidence=Supporting evidence includes similarity to: 21 Proteins%2C and 97%25 coverage of the annotated genomic feature by RNAseq alignments;product=tyrosine-protein kinase receptor Tie-1-like;transcript_id=XM_027183108.1;pdam_00016664;Pocillopora damicornis;113667294;tyrosine-protein kinase receptor Tie-1-like","GO:0004672,GO:0004713,GO:0005524,GO:0006468"
"173","rna-XM_027183422.1","control_vs_mid","NW_020844546.1","Gnomon","mRNA",11353,21116,".","-",".","ID=rna-XM_027183422.1;Parent=gene-LOC113667573;Dbxref=GeneID:113667573,Genbank:XM_027183422.1;Name=XM_027183422.1;gbkey=mRNA;gene=LOC113667573;model_evidence=Supporting evidence includes similarity to: 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 29 samples with support for all annotated introns;product=ran GTPase-activating protein 1-like%2C transcript variant X2;transcript_id=XM_027183422.1;pdam_00019758;Pocillopora damicornis;113667573;ran GTPase-activating protein 1-like","GO:0005096,GO:0005515,GO:0007165"
"174","rna-XM_027183537.1","control_vs_mid","NW_020844573.1","Gnomon","mRNA",398657,404638,".","-",".","ID=rna-XM_027183537.1;Parent=gene-LOC113667677;Dbxref=GeneID:113667677,Genbank:XM_027183537.1;Name=XM_027183537.1;gbkey=mRNA;gene=LOC113667677;model_evidence=Supporting evidence includes similarity to: 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns;product=putative gastrointestinal growth factor xP4%2C transcript variant X2;transcript_id=XM_027183537.1;pdam_00002998;Pocillopora damicornis;113667677;putative gastrointestinal growth factor xP4",""
"175","rna-XM_027183747.1","control_vs_mid","NW_020844629.1","Gnomon","mRNA",7,707,".","+",".","ID=rna-XM_027183747.1;Parent=gene-LOC113667883;Dbxref=GeneID:113667883,Genbank:XM_027183747.1;Name=XM_027183747.1;gbkey=mRNA;gene=LOC113667883;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC113667883;transcript_id=XM_027183747.1;pdam_00025544;Pocillopora damicornis;113667883;uncharacterized LOC113667883",""
"176","rna-XM_027183859.1","control_vs_mid","NW_020844641.1","Gnomon","mRNA",27312,29801,".","+",".","ID=rna-XM_027183859.1;Parent=gene-LOC113667981;Dbxref=GeneID:113667981,Genbank:XM_027183859.1;Name=XM_027183859.1;gbkey=mRNA;gene=LOC113667981;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 99%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;partial=true;product=uncharacterized LOC113667981;start_range=.,27312;transcript_id=XM_027183859.1;;Pocillopora damicornis;113667981;uncharacterized LOC113667981",""
"177","rna-XM_027183897.1","control_vs_mid","NW_020844645.1","Gnomon","mRNA",198227,201048,".","-",".","ID=rna-XM_027183897.1;Parent=gene-LOC113668014;Dbxref=GeneID:113668014,Genbank:XM_027183897.1;Name=XM_027183897.1;gbkey=mRNA;gene=LOC113668014;model_evidence=Supporting evidence includes similarity to: 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 47 samples with support for all annotated introns;product=peptide methionine sulfoxide reductase-like;transcript_id=XM_027183897.1;pdam_00014792;Pocillopora damicornis;113668014;peptide methionine sulfoxide reductase-like","GO:0008113,GO:0055114"
"178","rna-XM_027184035.1","control_vs_mid","NW_020843492.1","Gnomon","mRNA",5727,6932,".","-",".","ID=rna-XM_027184035.1;Parent=gene-LOC113668154;Dbxref=GeneID:113668154,Genbank:XM_027184035.1;Name=XM_027184035.1;end_range=6932,.;gbkey=mRNA;gene=LOC113668154;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 74%25 coverage of the annotated genomic feature by RNAseq alignments;partial=true;product=uncharacterized LOC113668154;transcript_id=XM_027184035.1;pdam_00024580;Pocillopora damicornis;113668154;uncharacterized LOC113668154",""
"179","rna-XM_027184176.1","control_vs_mid","NW_020844672.1","Gnomon","mRNA",391175,407133,".","+",".","ID=rna-XM_027184176.1;Parent=gene-LOC113668292;Dbxref=GeneID:113668292,Genbank:XM_027184176.1;Name=XM_027184176.1;gbkey=mRNA;gene=LOC113668292;model_evidence=Supporting evidence includes similarity to: 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns;product=echinoderm microtubule-associated protein-like 2%2C transcript variant X2;transcript_id=XM_027184176.1;pdam_00003911;Pocillopora damicornis;113668292;echinoderm microtubule-associated protein-like 2","GO:0005509,GO:0005515"
"180","rna-XM_027184360.1","control_vs_mid","NW_020844727.1","Gnomon","mRNA",486519,490945,".","+",".","ID=rna-XM_027184360.1;Parent=gene-LOC113668461;Dbxref=GeneID:113668461,Genbank:XM_027184360.1;Name=XM_027184360.1;gbkey=mRNA;gene=LOC113668461;model_evidence=Supporting evidence includes similarity to: 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns;product=aquaporin-3-like;transcript_id=XM_027184360.1;pdam_00008307;Pocillopora damicornis;113668461;aquaporin-3-like","GO:0005215,GO:0006810,GO:0016020"
"181","rna-XM_027184885.1","control_vs_mid","NW_020844782.1","Gnomon","mRNA",239072,244190,".","-",".","ID=rna-XM_027184885.1;Parent=gene-LOC113668910;Dbxref=GeneID:113668910,Genbank:XM_027184885.1;Name=XM_027184885.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: added 187 bases not found in genome assembly;end_range=244190,.;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=LOC113668910;inference=similar to RNA sequence (same species):INSD:GEFF01023830.1;model_evidence=Supporting evidence includes similarity to: 18 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns;partial=true;product=uncharacterized LOC113668910;transcript_id=XM_027184885.1;pdam_00008485;Pocillopora damicornis;113668910;uncharacterized LOC113668910","GO:0005515,GO:0051260"
"182","rna-XM_027185069.1","control_vs_mid","NW_020843503.1","Gnomon","mRNA",185989,199176,".","+",".","ID=rna-XM_027185069.1;Parent=gene-LOC113669066;Dbxref=GeneID:113669066,Genbank:XM_027185069.1;Name=XM_027185069.1;gbkey=mRNA;gene=LOC113669066;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns;product=bromodomain-containing protein 8-like%2C transcript variant X2;transcript_id=XM_027185069.1;pdam_00007428;Pocillopora damicornis;113669066;bromodomain-containing protein 8-like",""
"183","rna-XM_027185127.1","control_vs_mid","NW_020844806.1","Gnomon","mRNA",132977,144074,".","-",".","ID=rna-XM_027185127.1;Parent=gene-LOC113669129;Dbxref=GeneID:113669129,Genbank:XM_027185127.1;Name=XM_027185127.1;gbkey=mRNA;gene=LOC113669129;model_evidence=Supporting evidence includes similarity to: 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 29 samples with support for all annotated introns;product=uncharacterized LOC113669129%2C transcript variant X1;transcript_id=XM_027185127.1;;Pocillopora damicornis;113669129;uncharacterized LOC113669129",""
"184","rna-XM_027185585.1","control_vs_mid","NW_020844837.1","Gnomon","mRNA",372750,389393,".","-",".","ID=rna-XM_027185585.1;Parent=gene-LOC113669533;Dbxref=GeneID:113669533,Genbank:XM_027185585.1;Name=XM_027185585.1;gbkey=mRNA;gene=LOC113669533;model_evidence=Supporting evidence includes similarity to: 16 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 18 samples with support for all annotated introns;product=F-BAR domain only protein 2-like%2C transcript variant X1;transcript_id=XM_027185585.1;pdam_00005353;Pocillopora damicornis;113669533;F-BAR domain only protein 2-like",""
"185","rna-XM_027185667.1","control_vs_mid","NW_020844867.1","Gnomon","mRNA",42633,48600,".","-",".","ID=rna-XM_027185667.1;Parent=gene-LOC113669602;Dbxref=GeneID:113669602,Genbank:XM_027185667.1;Name=XM_027185667.1;gbkey=mRNA;gene=LOC113669602;model_evidence=Supporting evidence includes similarity to: 9 Proteins%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments;product=oxidoreductase NAD-binding domain-containing protein 1-like;transcript_id=XM_027185667.1;pdam_00010623;Pocillopora damicornis;113669602;oxidoreductase NAD-binding domain-containing protein 1-like","GO:0016491,GO:0055114"
"186","rna-XM_027185848.1","control_vs_mid","NW_020844900.1","Gnomon","mRNA",327931,332025,".","-",".","ID=rna-XM_027185848.1;Parent=gene-LOC113669770;Dbxref=GeneID:113669770,Genbank:XM_027185848.1;Name=XM_027185848.1;gbkey=mRNA;gene=LOC113669770;model_evidence=Supporting evidence includes similarity to: 62 Proteins%2C and 95%25 coverage of the annotated genomic feature by RNAseq alignments;product=neurogenic locus Notch protein-like;transcript_id=XM_027185848.1;pdam_00012358;Pocillopora damicornis;113669770;neurogenic locus Notch protein-like","GO:0005509"
"187","rna-XM_027186451.1","control_vs_mid","NW_020844984.1","Gnomon","mRNA",46923,52859,".","+",".","ID=rna-XM_027186451.1;Parent=gene-LOC113670330;Dbxref=GeneID:113670330,Genbank:XM_027186451.1;Name=XM_027186451.1;gbkey=mRNA;gene=LOC113670330;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=uncharacterized LOC113670330%2C transcript variant X2;transcript_id=XM_027186451.1;pdam_00004486;Pocillopora damicornis;113670330;uncharacterized LOC113670330",""
"188","rna-XM_027187184.1","control_vs_mid","NW_020845097.1","Gnomon","mRNA",455947,468645,".","+",".","ID=rna-XM_027187184.1;Parent=gene-LOC113670970;Dbxref=GeneID:113670970,Genbank:XM_027187184.1;Name=XM_027187184.1;gbkey=mRNA;gene=LOC113670970;model_evidence=Supporting evidence includes similarity to: 30 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns;product=uncharacterized LOC113670970;transcript_id=XM_027187184.1;pdam_00007668;Pocillopora damicornis;113670970;uncharacterized LOC113670970",""
"189","rna-XM_027187222.1","control_vs_mid","NW_020843538.1","Gnomon","mRNA",59842,61759,".","-",".","ID=rna-XM_027187222.1;Parent=gene-LOC113671011;Dbxref=GeneID:113671011,Genbank:XM_027187222.1;Name=XM_027187222.1;gbkey=mRNA;gene=LOC113671011;model_evidence=Supporting evidence includes similarity to: 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 35 samples with support for all annotated introns;product=ubiquinol-cytochrome-c reductase complex assembly factor 2-like;transcript_id=XM_027187222.1;pdam_00019680;Pocillopora damicornis;113671011;ubiquinol-cytochrome-c reductase complex assembly factor 2-like",""
"190","rna-XM_027187260.1","control_vs_mid","NW_020845124.1","Gnomon","mRNA",45950,50378,".","+",".","ID=rna-XM_027187260.1;Parent=gene-LOC113671053;Dbxref=GeneID:113671053,Genbank:XM_027187260.1;Name=XM_027187260.1;gbkey=mRNA;gene=LOC113671053;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 30 samples with support for all annotated introns;product=peroxisome assembly protein 26-like%2C transcript variant X1;transcript_id=XM_027187260.1;pdam_00021033;Pocillopora damicornis;113671053;peroxisome assembly protein 26-like","GO:0005779,GO:0032403,GO:0045046"
"191","rna-XM_027187535.1","control_vs_mid","NW_020845246.1","Gnomon","mRNA",12925,14783,".","-",".","ID=rna-XM_027187535.1;Parent=gene-LOC113671323;Dbxref=GeneID:113671323,Genbank:XM_027187535.1;Name=XM_027187535.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: added 222 bases not found in genome assembly;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=LOC113671323;inference=similar to RNA sequence (same species):INSD:GEFF01010579.1;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;partial=true;product=protein spitz-like;start_range=.,12925;transcript_id=XM_027187535.1;pdam_00023272;Pocillopora damicornis;113671323;protein spitz-like",""
"192","rna-XM_027187663.1","control_vs_mid","NW_020845264.1","Gnomon","mRNA",1557358,1564269,".","+",".","ID=rna-XM_027187663.1;Parent=gene-LOC113671459;Dbxref=GeneID:113671459,Genbank:XM_027187663.1;Name=XM_027187663.1;gbkey=mRNA;gene=LOC113671459;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=tenascin-R-like;transcript_id=XM_027187663.1;;Pocillopora damicornis;113671459;tenascin-R-like",""
"193","rna-XM_027187820.1","control_vs_mid","NW_020845264.1","Gnomon","mRNA",661976,665602,".","+",".","ID=rna-XM_027187820.1;Parent=gene-LOC113671573;Dbxref=GeneID:113671573,Genbank:XM_027187820.1;Name=XM_027187820.1;gbkey=mRNA;gene=LOC113671573;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 21 samples with support for all annotated introns;product=uncharacterized LOC113671573%2C transcript variant X2;transcript_id=XM_027187820.1;pdam_00000574;Pocillopora damicornis;113671573;uncharacterized LOC113671573",""
"194","rna-XM_027187995.1","control_vs_mid","NW_020845295.1","Gnomon","mRNA",459686,461927,".","-",".","ID=rna-XM_027187995.1;Parent=gene-LOC113671742;Dbxref=GeneID:113671742,Genbank:XM_027187995.1;Name=XM_027187995.1;gbkey=mRNA;gene=LOC113671742;model_evidence=Supporting evidence includes similarity to: 27 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=androgen-induced gene 1 protein-like;transcript_id=XM_027187995.1;pdam_00009386;Pocillopora damicornis;113671742;androgen-induced gene 1 protein-like","GO:0016021"
"195","rna-XM_027188287.1","control_vs_mid","NW_020845316.1","Gnomon","mRNA",138594,142687,".","+",".","ID=rna-XM_027188287.1;Parent=gene-LOC113672016;Dbxref=GeneID:113672016,Genbank:XM_027188287.1;Name=XM_027188287.1;gbkey=mRNA;gene=LOC113672016;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 34 samples with support for all annotated introns;product=pirin-like protein;transcript_id=XM_027188287.1;pdam_00007306;Pocillopora damicornis;113672016;pirin-like protein",""
"196","rna-XM_027188505.1","control_vs_mid","NW_020845351.1","Gnomon","mRNA",262503,265157,".","-",".","ID=rna-XM_027188505.1;Parent=gene-LOC113672221;Dbxref=GeneID:113672221,Genbank:XM_027188505.1;Name=XM_027188505.1;gbkey=mRNA;gene=LOC113672221;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=manganese-dependent ADP-ribose/CDP-alcohol diphosphatase-like;transcript_id=XM_027188505.1;;Pocillopora damicornis;113672221;manganese-dependent ADP-ribose/CDP-alcohol diphosphatase-like",""
"197","rna-XM_027188912.1","control_vs_mid","NW_020843589.1","Gnomon","mRNA",58492,60979,".","+",".","ID=rna-XM_027188912.1;Parent=gene-LOC113672601;Dbxref=GeneID:113672601,Genbank:XM_027188912.1;Name=XM_027188912.1;gbkey=mRNA;gene=LOC113672601;model_evidence=Supporting evidence includes similarity to: 22 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 49 samples with support for all annotated introns;product=heterogeneous nuclear ribonucleoprotein A0-like%2C transcript variant X2;transcript_id=XM_027188912.1;pdam_00021297;Pocillopora damicornis;113672601;heterogeneous nuclear ribonucleoprotein A0-like","GO:0003676"
"198","rna-XM_027188932.1","control_vs_mid","NW_020845410.1","Gnomon","mRNA",937876,947146,".","+",".","ID=rna-XM_027188932.1;Parent=gene-LOC113672624;Dbxref=GeneID:113672624,Genbank:XM_027188932.1;Name=XM_027188932.1;gbkey=mRNA;gene=LOC113672624;model_evidence=Supporting evidence includes similarity to: 60 Proteins%2C and 99%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC113672624;transcript_id=XM_027188932.1;pdam_00000824;Pocillopora damicornis;113672624;uncharacterized LOC113672624","GO:0003676,GO:0005515"
"199","rna-XM_027188962.1","control_vs_mid","NW_020845410.1","Gnomon","mRNA",948129,954133,".","-",".","ID=rna-XM_027188962.1;Parent=gene-LOC113672652;Dbxref=GeneID:113672652,Genbank:XM_027188962.1;Name=XM_027188962.1;gbkey=mRNA;gene=LOC113672652;model_evidence=Supporting evidence includes similarity to: 39 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 7 samples with support for all annotated introns;product=putative histone-lysine N-methyltransferase PRDM6%2C transcript variant X1;transcript_id=XM_027188962.1;pdam_00000825;Pocillopora damicornis;113672652;putative histone-lysine N-methyltransferase PRDM6","GO:0003676,GO:0005515"
"200","rna-XM_027188981.1","control_vs_mid","NW_020845410.1","Gnomon","mRNA",1458996,1470308,".","-",".","ID=rna-XM_027188981.1;Parent=gene-LOC113672662;Dbxref=GeneID:113672662,Genbank:XM_027188981.1;Name=XM_027188981.1;gbkey=mRNA;gene=LOC113672662;model_evidence=Supporting evidence includes similarity to: 18 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 26 samples with support for all annotated introns;product=COUP transcription factor 2-like%2C transcript variant X2;transcript_id=XM_027188981.1;pdam_00000890;Pocillopora damicornis;113672662;COUP transcription factor 2-like","GO:0003677,GO:0003700,GO:0003707,GO:0004879,GO:0005634,GO:0006355,GO:0008270,GO:0043401,GO:0043565"
