Metadata,,,,GOSeq,,,,,,,DESeq2,,,,,,,BLASTn (pdam included),,,,,BLASTn (pdam excluded),,,,,BLASTn (Homo sapiens),,,,,PDB  ,,,,
Species,Site,gene_id,length,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,PDB ID,PDB description,Species,Macromolecule ,e-value
Pdamicornis,Hawaii,LOC113682506,5647,GO:0006099,0.03743146,0.99674336,2,13,tricarboxylic acid cycle,BP,2249.55277,1.15674433,0.36770776,3.14582518,1.66E-03,0.0496355,CvsHigh,XM_027199668.1,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like",Pocillopora damicornis,2464,0.00E+00,XM_022933849.1,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like",Stylophora pistillata,1.52E+03,0.00E+00,NM_003000.3,succinate dehydrogenase complex iron sulfur subunit B (SDHB),Homo sapiens,416,7.00E-113,6MYR: Entity 2,Avian mitochondrial complex II with thiapronil bound,Gallus gallus,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",1.25E-143
Pdamicornis,Hawaii,LOC113682550,5330,GO:0006825,0.02361954,1,1,1,copper ion transport,BP,474.45959,1.1264388,0.21791831,5.16908744,2.35E-07,3.50E-05,CvsHigh,XM_027199711.1,"protein SCO1 homolog, mitochondrial-like",Pocillopora damicornis,5142,0.00E+00,XM_022945249.1,"protein SCO1 homolog, mitochondrial-like",Stylophora pistillata,1.37E+03,0.00E+00,NM_005138.3,synthesis of cytochrome C oxidase 2 (SCO2),Homo sapiens,49.1,0.075,2GT5: Entity 1,Solution structure of apo Human Sco1,Homo sapiens,"SCO1 protein homolog, mitochondrial",2.17E-63
Pdamicornis,Hawaii,LOC113682550,5330,GO:0006878,4.67E-02,0.99944336,1,2,cellular copper ion homeostasis,BP,474.45959,1.1264388,0.21791831,5.16908744,2.35E-07,3.50E-05,CvsHigh,XM_027199711.1,"protein SCO1 homolog, mitochondrial-like",Pocillopora damicornis,5142,0.00E+00,XM_022945249.1,"protein SCO1 homolog, mitochondrial-like",Stylophora pistillata,1.37E+03,0.00E+00,NM_005138.3,synthesis of cytochrome C oxidase 2 (SCO2),Homo sapiens,49.1,0.075,2GT5: Entity 1,Solution structure of apo Human Sco1,Homo sapiens,"SCO1 protein homolog, mitochondrial",2.17E-63
Pdamicornis,Hawaii,LOC113682550,5330,GO:0008535,0.02361954,1,1,1,respiratory chain complex IV assembly,BP,474.45959,1.1264388,0.21791831,5.16908744,2.35E-07,3.50E-05,CvsHigh,XM_027199711.1,"protein SCO1 homolog, mitochondrial-like",Pocillopora damicornis,5142,0.00E+00,XM_022945249.1,"protein SCO1 homolog, mitochondrial-like",Stylophora pistillata,1.37E+03,0.00E+00,NM_005138.3,synthesis of cytochrome C oxidase 2 (SCO2),Homo sapiens,49.1,0.075,2GT5: Entity 1,Solution structure of apo Human Sco1,Homo sapiens,"SCO1 protein homolog, mitochondrial",2.17E-63
Pdamicornis,Hawaii,LOC113682626,11480,GO:0006515,0.02401118,1,1,1,protein quality control for misfolded or incompletely synthesized proteins,BP,178.517377,-2.513027,0.39525515,-6.3579866,2.04E-10,6.43E-08,CvsHigh,XM_027199792.1,"lon protease homolog, mitochondrial-like",Pocillopora damicornis,6368,0,XM_022949815.1,"lon protease homolog, mitochondrial-like",Stylophora pistillata,4425,0,NR_076392.2,"lon peptidase 1, mitochondrial (LONP1)",Homo sapiens,378,4.00E-101,7NFY: Entity 1,P1a-state of wild type human mitochondrial LONP1 protease with bound substrate protein and ATPgS,Homo sapiens,"Lon protease homolog, mitochondrial",0.00E+00
Pdamicornis,Hawaii,LOC113682626,11480,GO:0006515,2.40E-02,1,1,1,protein quality control for misfolded or incompletely synthesized proteins,BP,178.517377,-2.4326193,0.3954353,-6.1517503,7.66E-10,2.53E-07,CvsMid,XM_027199792.1,"lon protease homolog, mitochondrial-like",Pocillopora damicornis,6368,0,XM_022949815.1,"lon protease homolog, mitochondrial-like",Stylophora pistillata,4425,0,NR_076392.2,"lon peptidase 1, mitochondrial (LONP1)",Homo sapiens,378,4.00E-101,7NFY: Entity 1,P1a-state of wild type human mitochondrial LONP1 protease with bound substrate protein and ATPgS,Homo sapiens,"Lon protease homolog, mitochondrial",0.00E+00
Pdamicornis,Hawaii,LOC113682887,1656,GO:0008119,0.04570808,0.99946638,1,2,thiopurine S-methyltransferase activity,MF,152.769286,1.66082389,0.35320431,4.702162,2.57E-06,2.76E-04,CvsHigh,XM_027200062.1,probable thiopurine S-methyltransferase,Pocillopora damicornis,2976,0,XM_022954845.1,probable thiopurine S-methyltransferase,Stylophora pistillata,1131,0,CP068260.1,isolate CHM13 chromosome 18,Homo sapiens,44.6,0.54,SG11: Entity 1,Amino-terminal Truncated Thiopurine S-Methyltransferase Complexed with S-Adenosyl-L-Homocysteine,Homo sapiens,Thiopurine S-methyltransferase,6.39E-37
Pdamicornis,Hawaii,LOC113682888,19574,GO:0008289,4.09E-02,0.99303865,3,32,lipid binding,MF,261.069654,-3.6150045,0.90833126,-3.9798306,6.90E-05,4.13E-03,CvsHigh,XM_027200063.1,uncharacterized,Pocillopora damicornis,5685,0,XM_022954831.1,uncharacterized,Stylophora pistillata,2130,0,CU310075.1,sequence from clone XX-NCIH2171_7C07,Homo sapiens,46.4,0.32,6SER: Entity 1,Crystal structure of human STARD10,Homo sapiens,START domain-containing protein 10,4.79E-10
Pdamicornis,Hawaii,LOC113682888,19574,GO:0008289,4.09E-02,0.99303865,3,32,lipid binding,MF,261.069654,-3.3842146,0.90848489,-3.7251193,1.95E-04,0.0126311,CvsMid,XM_027200063.1,uncharacterized,Pocillopora damicornis,5685,0,XM_022954831.1,uncharacterized,Stylophora pistillata,2130,0,CU310075.1,sequence from clone XX-NCIH2171_7C07,Homo sapiens,46.4,0.32,6SER: Entity 1,Crystal structure of human STARD10,Homo sapiens,START domain-containing protein 10,4.79E-10
Pdamicornis,Hawaii,LOC113683409,23556,GO:0000160,0.02631325,1,1,1,phosphorelay signal transduction system,BP,438.008747,-2.9818851,0.73129214,-4.0775566,4.55E-05,0.00386596,CvsMid,XM_027200647.1,"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B-like",Pocillopora damicornis,5989,0,XM_020771190.1,"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A-like",Orbicella faveolata,2985,0,NM_001376063.1,phosphodiesterase 8B (PDE8B),Homo sapiens,193,3.00E-45,3ECM: Entity 1,Crystal structure of the unliganded PDE8A catalytic domain,Homo sapiens,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",9.40E-132
Pdamicornis,Hawaii,LOC113683409,23556,GO:0000160,2.63E-02,1,1,1,phosphorelay signal transduction system,BP,438.008747,-3.3238565,0.73111839,-4.5462631,5.46E-06,0.00054395,CvsHigh,XM_027200647.1,"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B-like",Pocillopora damicornis,5989,0,XM_020771190.1,"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A-like",Orbicella faveolata,2985,0,NM_001376063.1,phosphodiesterase 8B (PDE8B),Homo sapiens,193,3.00E-45,3ECM: Entity 1,Crystal structure of the unliganded PDE8A catalytic domain,Homo sapiens,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",9.40E-132
Pdamicornis,Hawaii,LOC113684236,3398,GO:0006915,0.01567745,0.99921759,2,8,apoptotic process,BP,130.165561,-1.1841866,0.31204074,-3.7949743,0.00014766,0.01002198,CvsMid,XM_027201577.1,uncharacterized,Pocillopora damicornis,1613,0.00E+00,XM_022944891.1,uncharacterized,Stylophora pistillata,8.54E+02,0.00E+00,AC091810.4,chromosome X clone CTD-2324A24 map p11.4,Homo sapiens,45.5,0.28,4D2K: Entity 1,Crystal structure of DREP2 CIDE domain,Drosophila melanogaster,DREP2,4.73E-10
Pdamicornis,Hawaii,LOC113684275,1665,GO:0018193,4.63E-02,0.99945231,1,2,peptidyl-amino acid modification,BP,46.2489115,-1.2969925,0.27444802,-4.7258222,2.29E-06,2.99E-04,CvsMid,XM_027201623.1,aspartate beta-hydroxylase domain-containing protein 2-like,Pocillopora damicornis,3022,0,XM_022925733.1,aspartate beta-hydroxylase domain-containing protein 2-like,Stylophora pistillata,1133,0,AL392167.7,DNA sequence from clone RP11-514M10 on chromosome 10,Homo sapiens,51.8,0.004,5JTC: Entity 1,"Aspartyl/Asparaginyl beta-hydroxylase (AspH)oxygenase and TPR domains in complex with manganese, 2,4-pyridine dicarboxylate and factor X substrate peptide fragment(39mer-4Ser)",Homo sapiens,Aspartyl/asparaginyl beta-hydroxylase,1.59E-32
Pdamicornis,Hawaii,LOC113684275,1665,GO:0018193,4.63E-02,0.99945231,1,2,peptidyl-amino acid modification,BP,46.2489115,-0.9417675,0.27937796,-3.3709441,7.49E-04,2.88E-02,CvsHigh,XM_027201623.1,aspartate beta-hydroxylase domain-containing protein 2-like,Pocillopora damicornis,3022,0,XM_022925733.1,aspartate beta-hydroxylase domain-containing protein 2-like,Stylophora pistillata,1133,0,AL392167.7,DNA sequence from clone RP11-514M10 on chromosome 10,Homo sapiens,51.8,0.004,5JTC: Entity 1,"Aspartyl/Asparaginyl beta-hydroxylase (AspH)oxygenase and TPR domains in complex with manganese, 2,4-pyridine dicarboxylate and factor X substrate peptide fragment(39mer-4Ser)",Homo sapiens,Aspartyl/asparaginyl beta-hydroxylase,1.59E-32
Pdamicornis,Hawaii,LOC113685074,8563,GO:0006915,0.01567745,0.99921759,2,8,apoptotic process,BP,224.131877,2.36287057,0.73659479,3.20782959,1.34E-03,0.04346887,CvsHigh,XM_027202537.1,cellular tumor antigen p53-like,Pocillopora damicornis,2588,0.00E+00,XM_022933042.1,cellular tumor antigen p53-like,Stylophora pistillata,1.95E+03,0.00E+00,AL157407.11,sequence from clone RP4-609E1 on chromosome 1p31.2-32.1,Homo sapiens,52.7,0.005,3US0: Entity 1,"Structure of p63 DNA Binding Domain in Complex with a 22 Base Pair A/T Rich Response Element Containing a Two Base Pair ""AT"" Spacer Between Half Sites",Homo sapiens,Tumor protein 63,2.90E-35
Pdamicornis,Hawaii,LOC113686913,15995,GO:0008239,0.04803568,0.99940993,1,2,dipeptidyl-peptidase activity,MF,132.168191,-1.1097201,0.29145291,-3.807545,1.40E-04,0.00957306,CvsMid,XM_027204596.1,uncharacterized,Pocillopora damicornis,7840,0.00E+00,XM_022922343.1,cocaine esterase-like,Stylophora pistillata,2.64E+03,0.00E+00,AH010608.2,chromosome 11 G-protein couple receptor (GPR48),Homo sapiens,45.4,1.4,3I2F: Entity 1,"Cocaine Esterase with mutations T172R / G173Q, bound to DTT adduct",Rhodococcus sp. MB1 'Bresler 1999,Cocaine esterase,2.46E-31
Pdamicornis,Hawaii,LOC113686913,15995,GO:0008239,4.80E-02,0.99940993,1,2,dipeptidyl-peptidase activity,MF,132.168191,-0.978097,0.29210717,-3.3484184,8.13E-04,3.05E-02,CvsHigh,XM_027204596.1,uncharacterized,Pocillopora damicornis,7840,0.00E+00,XM_022922343.1,cocaine esterase-like,Stylophora pistillata,2.64E+03,0.00E+00,AH010608.2,chromosome 11 G-protein couple receptor (GPR48),Homo sapiens,45.4,1.4,3I2F: Entity 1,"Cocaine Esterase with mutations T172R / G173Q, bound to DTT adduct",Rhodococcus sp. MB1 'Bresler 1999,Cocaine esterase,2.46E-31
Pdamicornis,Hawaii,LOC113687128,30486,GO:0004713,0.00345864,0.99913923,8,101,protein tyrosine kinase activity,MF,28.4283552,-1.283203,0.34758333,-3.6917851,2.23E-04,1.10E-02,CvsHigh,XM_027204831.1,proto-oncogene tyrosine-protein kinase receptor Ret-like,Pocillopora damicornis,3131,0,XM_022937344.1,fibroblast growth factor receptor 3-like,Stylophora pistillata,603,2.00E-167,NM_002378.4,megakaryocyte-associated tyrosine kinase (MATK),Homo sapiens,52.7,4.00E-03,5AMN: Entity 1,The Discovery of 2-Substituted Phenol Quinazolines as Potent and Selective RET Kinase Inhibitors,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,1.68E-74
Pdamicornis,Hawaii,LOC113687128,30486,GO:0004713,0.00345864,0.99913923,8,101,protein tyrosine kinase activity,MF,28.4283552,-1.1770498,0.35001503,-3.3628551,7.71E-04,3.73E-02,CvsMid,XM_027204831.1,proto-oncogene tyrosine-protein kinase receptor Ret-like,Pocillopora damicornis,3131,0,XM_022937344.1,fibroblast growth factor receptor 3-like,Stylophora pistillata,603,2.00E-167,NM_002378.4,megakaryocyte-associated tyrosine kinase (MATK),Homo sapiens,52.7,4.00E-03,5AMN: Entity 1,The Discovery of 2-Substituted Phenol Quinazolines as Potent and Selective RET Kinase Inhibitors,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,1.68E-74
