Orthogroup	Mcavernosa.maker.proteins	plut2v1.1.proteins
OG0007653	Mcavernosa31119-RA	plut2.m8.1920.m1
OG0007655	Mcavernosa16056-RA	plut2.m8.8347.m1
OG0007656	Mcavernosa11924-RA	plut2.m8.27336.m1
OG0007659	Mcavernosa11988-RA, Mcavernosa04234-RA	plut2.m8.2161.m1
OG0007661	Mcavernosa26723-RA	plut2.m8.11422.m1
OG0007662	Mcavernosa21777-RA	plut2.m8.160.m1
OG0007663	Mcavernosa06494-RA	plut2.m8.11980.m1
OG0007664	Mcavernosa06489-RA	plut2.m8.11981.m1
OG0007665	Mcavernosa00081-RA	plut2.m8.1879.m1
OG0007666	Mcavernosa21194-RA, Mcavernosa21191-RA	plut2.m8.15843.m1
OG0007667	Mcavernosa08455-RA	plut2.m8.1481.m1
OG0007669	Mcavernosa29670-RA	plut2.m8.30601.m1
OG0007670	Mcavernosa02725-RA	plut2.m8.29288.m1
OG0007671	Mcavernosa22590-RA	plut2.m8.13245.m1
OG0007672	Mcavernosa04980-RA	plut2.m8.7377.m1
OG0007673	Mcavernosa18681-RA	plut2.m8.5378.m1
OG0007676	Mcavernosa10010-RA	plut2.m8.641.m1
OG0007678	Mcavernosa06798-RA	plut2.m8.1334.m1
OG0007680	Mcavernosa16148-RA	plut2.m8.1342.m1
OG0007681	Mcavernosa05931-RA	plut2.m8.9622.m1
OG0007682	Mcavernosa23003-RA	plut2.m8.21712.m1
OG0007683	Mcavernosa24874-RA	plut2.m8.9071.m1
OG0007687	Mcavernosa12829-RA, Mcavernosa12828-RA	plut2.m8.5920.m1
OG0007688	Mcavernosa19485-RA, Mcavernosa19484-RA	plut2.m8.29579.m1
OG0007689	Mcavernosa13918-RA	plut2.m8.17107.m1
OG0007690	Mcavernosa13915-RA	plut2.m8.17110.m1
OG0007691	Mcavernosa13925-RA	plut2.m8.17116.m1
OG0007692	Mcavernosa03564-RA	plut2.m8.24429.m1
OG0007693	Mcavernosa16499-RA	plut2.m8.17103.m1
OG0007694	Mcavernosa12005-RA	plut2.m8.30180.m1
OG0007695	Mcavernosa22292-RA	plut2.m8.15458.m1
OG0007696	Mcavernosa06367-RA	plut2.m8.9063.m1
OG0007697	Mcavernosa17551-RA	plut2.m8.3588.m1
OG0007698	Mcavernosa27321-RA	plut2.m8.17604.m1
OG0007700	Mcavernosa29733-RA	plut2.m8.818.m1
OG0007701	Mcavernosa22614-RA	plut2.m8.4182.m1
OG0007703	Mcavernosa19539-RA	plut2.m8.28465.m1
OG0007705	Mcavernosa14818-RA	plut2.m8.14669.m1
OG0007707	Mcavernosa08314-RA	plut2.m8.12595.m1
OG0007708	Mcavernosa04407-RA	plut2.m8.4736.m1
OG0007709	Mcavernosa04399-RA	plut2.m8.4768.m1
OG0007711	Mcavernosa01901-RA	plut2.m8.11205.m1
OG0007712	Mcavernosa28046-RA	plut2.m8.14185.m1
OG0007713	Mcavernosa17213-RA	plut2.m8.16647.m1
OG0007715	Mcavernosa02690-RA	plut2.m8.21247.m1
OG0007717	Mcavernosa00286-RA	plut2.m8.18639.m1
OG0007719	Mcavernosa05293-RA	plut2.m8.19969.m1
OG0007720	Mcavernosa05291-RA	plut2.m8.19963.m1
OG0007721	Mcavernosa29888-RA	plut2.m8.8300.m1
OG0007722	Mcavernosa06756-RA	plut2.m8.19637.m1, plut2.m8.19636.m1
OG0007723	Mcavernosa29892-RA	plut2.m8.8292.m1
OG0007724	Mcavernosa03330-RA	plut2.m8.15541.m1
OG0007726	Mcavernosa05143-RA	plut2.m8.3158.m1
OG0007727	Mcavernosa05141-RA, Mcavernosa05142-RA	plut2.m8.3157.m1
OG0007728	Mcavernosa33185-RA	plut2.m8.3147.m1
OG0007729	Mcavernosa20801-RA	plut2.m8.3145.m1
OG0007730	Mcavernosa31089-RA	plut2.m8.8780.m1
OG0007731	Mcavernosa31090-RA	plut2.m8.8779.m1
OG0007732	Mcavernosa31094-RA	plut2.m8.8778.m1
OG0007733	Mcavernosa31111-RA	plut2.m8.12460.m1
OG0007734	Mcavernosa23675-RA, Mcavernosa23678-RA	plut2.m8.9458.m1
OG0007735	Mcavernosa27109-RA	plut2.m8.9463.m1
OG0007736	Mcavernosa27108-RA	plut2.m8.9467.m1
OG0007737	Mcavernosa27106-RA	plut2.m8.9459.m1
OG0007738	Mcavernosa27105-RA	plut2.m8.9460.m1
OG0007739	Mcavernosa30994-RA	plut2.m8.12394.m1
OG0007740	Mcavernosa31557-RA, Mcavernosa31555-RA	plut2.m8.17496.m1
OG0007741	Mcavernosa31558-RA	plut2.m8.17491.m1
OG0007742	Mcavernosa31559-RA	plut2.m8.2156.m1
OG0007743	Mcavernosa23092-RA	plut2.m8.32993.m1
OG0007744	Mcavernosa30877-RA	plut2.m8.31850.m1, plut2.m8.27275.m1
OG0007745	Mcavernosa30873-RA	plut2.m8.27286.m1
OG0007746	Mcavernosa13572-RA	plut2.m8.25668.m1
OG0007747	Mcavernosa30887-RA	plut2.m8.27262.m1
OG0007748	Mcavernosa30890-RA, Mcavernosa30891-RA	plut2.m8.13031.m1
OG0007749	Mcavernosa16811-RA	plut2.m8.4996.m1
OG0007750	Mcavernosa17698-RA	plut2.m8.5028.m1
OG0007751	Mcavernosa20076-RA	jamg1.model.Sc0000216.15
OG0007753	Mcavernosa06858-RA	plut2.m8.12660.m1
OG0007754	Mcavernosa24460-RA	plut2.m8.345.m1
OG0007755	Mcavernosa24461-RA	plut2.m8.343.m1
OG0007756	Mcavernosa24462-RA	plut2.m8.338.m1
OG0007757	Mcavernosa12215-RA	plut2.m8.20448.m1
OG0007758	Mcavernosa16802-RA	plut2.m8.5029.m1
OG0007759	Mcavernosa06771-RA	plut2.m8.10641.m1
OG0007760	Mcavernosa06769-RA	plut2.m8.10646.m1
OG0007761	Mcavernosa16130-RA	jamg1.model.Sc0000103.16
OG0007762	Mcavernosa24989-RA	plut2.m8.6035.m1
OG0007763	Mcavernosa25021-RA	plut2.m8.6038.m1
OG0007764	Mcavernosa25017-RA	plut2.m8.6036.m1
OG0007765	Mcavernosa10728-RA	plut2.m8.8742.m1
OG0007766	Mcavernosa10735-RA	plut2.m8.8737.m1
OG0007767	Mcavernosa33225-RA	plut2.m8.2890.m1
OG0007768	Mcavernosa33171-RA, Mcavernosa31814-RA	plut2.m8.2884.m1
OG0007769	Mcavernosa14746-RA, Mcavernosa14302-RA	plut2.m8.6165.m1
OG0007770	Mcavernosa14755-RA	plut2.m8.6169.m1
OG0007771	Mcavernosa34552-RA	plut2.m8.15920.m1
OG0007772	Mcavernosa10491-RA	plut2.m8.15927.m1
OG0007773	Mcavernosa24519-RA	plut2.m8.3951.m1
OG0007774	Mcavernosa24520-RA	plut2.m8.3961.m1
OG0007775	Mcavernosa20563-RA	plut2.m8.3936.m1
OG0007776	Mcavernosa20562-RA	plut2.m8.3943.m1
OG0007777	Mcavernosa20567-RA	plut2.m8.3939.m1
OG0007778	Mcavernosa06257-RA	jamg1.model.Sc0000174.67
OG0007779	Mcavernosa21675-RA	plut2.m8.12012.m1
OG0007780	Mcavernosa14622-RA	plut2.m8.8902.m1
OG0007783	Mcavernosa27947-RA	plut2.m8.18471.m1
OG0007784	Mcavernosa24283-RA	plut2.m8.256.m1
OG0007785	Mcavernosa10731-RA	plut2.m8.8709.m1
OG0007786	Mcavernosa23155-RA	plut2.m8.18302.m1
OG0007787	Mcavernosa07657-RA	plut2.m8.11311.m1
OG0007788	Mcavernosa08604-RA, Mcavernosa08605-RA	plut2.m8.15498.m1
OG0007789	Mcavernosa28645-RA	plut2.m8.392.m1
OG0007790	Mcavernosa28914-RA, Mcavernosa26121-RA	plut2.m8.26845.m1
OG0007791	Mcavernosa32031-RA	plut2.m8.30179.m1
OG0007792	Mcavernosa32026-RA, Mcavernosa32737-RA	plut2.m8.31176.m1, plut2.m8.30177.m1
OG0007793	Mcavernosa32025-RA	plut2.m8.31180.m1
OG0007794	Mcavernosa21269-RA, Mcavernosa21270-RA	plut2.m8.13918.m1
OG0007797	Mcavernosa21262-RA	plut2.m8.13926.m1
OG0007798	Mcavernosa00077-RA	plut2.m8.13922.m1, plut2.m8.13929.m1
OG0007799	Mcavernosa00064-RA, Mcavernosa00066-RA	plut2.m8.13944.m1
OG0007800	Mcavernosa29017-RA	plut2.m8.19327.m1
OG0007801	Mcavernosa13246-RA	plut2.m8.19324.m1
OG0007803	Mcavernosa16991-RA	plut2.m8.21158.m1
OG0007804	Mcavernosa07123-RA, Mcavernosa07121-RA	plut2.m8.15716.m1
OG0007805	Mcavernosa16978-RA	plut2.m8.21171.m1
OG0007806	Mcavernosa07125-RA	plut2.m8.15719.m1
OG0007807	Mcavernosa07127-RA	plut2.m8.15717.m1
OG0007808	Mcavernosa07128-RA	plut2.m8.15720.m1
OG0007809	Mcavernosa16552-RA	plut2.m8.7374.m1
OG0007812	Mcavernosa18598-RA	plut2.m8.13262.m1
OG0007813	Mcavernosa18596-RA	jamg1.model.Sc0000177.57
OG0007814	Mcavernosa18597-RA	plut2.m8.13258.m1
OG0007815	Mcavernosa03980-RA	plut2.m8.29213.m1
OG0007817	Mcavernosa19440-RA	jamg1.model.Sc0000002.21
OG0007818	Mcavernosa03983-RA	plut2.m8.29207.m1
OG0007819	Mcavernosa26861-RA	plut2.m8.29198.m1
OG0007820	Mcavernosa03982-RA	plut2.m8.29212.m1
OG0007821	Mcavernosa07813-RA	plut2.m8.22228.m1
OG0007822	Mcavernosa07812-RA	plut2.m8.22225.m1
OG0007823	Mcavernosa07804-RA, Mcavernosa07803-RA	plut2.m8.22227.m1
OG0007824	Mcavernosa07802-RA	plut2.m8.22230.m1
OG0007825	Mcavernosa12128-RA	plut2.m8.2837.m1
OG0007826	Mcavernosa19130-RA	plut2.m8.16674.m1
OG0007827	Mcavernosa19132-RA	plut2.m8.16670.m1
OG0007828	Mcavernosa11274-RA	plut2.m8.10276.m1
OG0007829	Mcavernosa33320-RA	plut2.m8.21602.m1, plut2.m8.22872.m1
OG0007830	Mcavernosa13192-RA	plut2.m8.19322.m1
OG0007832	Mcavernosa29955-RA	plut2.m8.21606.m1
OG0007833	Mcavernosa29915-RA	plut2.m8.23755.m1
OG0007834	Mcavernosa18159-RA	plut2.m8.22876.m1
OG0007835	Mcavernosa13185-RA	plut2.m8.19308.m1
OG0007836	Mcavernosa20830-RA	plut2.m8.28356.m1
OG0007837	Mcavernosa22189-RA	plut2.m8.21993.m1
OG0007838	Mcavernosa26486-RA	plut2.m8.21995.m1
OG0007839	Mcavernosa01976-RA	plut2.m8.18692.m1
OG0007840	Mcavernosa01982-RA	plut2.m8.18690.m1
OG0007842	Mcavernosa00845-RA	plut2.m8.7457.m1
OG0007843	Mcavernosa27281-RA	plut2.m8.7455.m1
OG0007844	Mcavernosa00858-RA	plut2.m8.7463.m1
OG0007845	Mcavernosa00857-RA	plut2.m8.7465.m1, plut2.m8.7462.m1
OG0007847	Mcavernosa28028-RA	plut2.m8.20668.m1
OG0007848	Mcavernosa28024-RA	plut2.m8.20671.m1
OG0007849	Mcavernosa30855-RA	plut2.m8.22116.m1
OG0007850	Mcavernosa15523-RA	plut2.m8.29053.m1
OG0007851	Mcavernosa13610-RA	plut2.m8.24577.m1
OG0007852	Mcavernosa10948-RA, Mcavernosa10946-RA	plut2.m8.10607.m1
OG0007853	Mcavernosa32955-RA	plut2.m8.18282.m1
OG0007855	Mcavernosa04730-RA	plut2.m8.24697.m1
OG0007856	Mcavernosa01357-RA	plut2.m8.17942.m1
OG0007858	Mcavernosa10619-RA	plut2.m8.22525.m1
OG0007859	Mcavernosa30371-RA	plut2.m8.22505.m1
OG0007860	Mcavernosa06516-RA	plut2.m8.11470.m1
OG0007862	Mcavernosa05399-RA	plut2.m8.11137.m1
OG0007863	Mcavernosa05406-RA	plut2.m8.14714.m1
OG0007866	Mcavernosa20592-RA	plut2.m8.20094.m1, plut2.m8.20088.m1
OG0007867	Mcavernosa22164-RA	plut2.m8.20103.m1
OG0007868	Mcavernosa24797-RA	plut2.m8.20969.m1
OG0007869	Mcavernosa22160-RA	plut2.m8.20100.m1
OG0007870	Mcavernosa12372-RA, Mcavernosa23709-RA	plut2.m8.9177.m1
OG0007871	Mcavernosa02663-RA	plut2.m8.30482.m1
OG0007872	Mcavernosa20972-RA	jamg1.model.Sc0000566.7
OG0007873	Mcavernosa06536-RA, Mcavernosa06535-RA	plut2.m8.8519.m1
OG0007874	Mcavernosa31199-RA	plut2.m8.12736.m1
OG0007875	Mcavernosa31213-RA	plut2.m8.12739.m1
OG0007876	Mcavernosa31214-RA	plut2.m8.12734.m1
OG0007877	Mcavernosa03495-RA	plut2.m8.18040.m1
OG0007878	Mcavernosa14109-RA	plut2.m8.7267.m1
OG0007879	Mcavernosa02941-RA	plut2.m8.1041.m1
OG0007880	Mcavernosa06260-RA	plut2.m8.13114.m1
OG0007882	Mcavernosa06248-RA	plut2.m8.13127.m1
OG0007883	Mcavernosa05680-RA	plut2.m8.20716.m1
OG0007884	Mcavernosa00027-RA, Mcavernosa26178-RA	plut2.m8.20704.m1
OG0007885	Mcavernosa00023-RA	plut2.m8.25152.m1
OG0007886	Mcavernosa05674-RA	plut2.m8.20707.m1
OG0007887	Mcavernosa05672-RA	plut2.m8.20706.m1
OG0007888	Mcavernosa04259-RA	plut2.m8.11121.m1
OG0007889	Mcavernosa06290-RA	plut2.m8.11166.m1
OG0007890	Mcavernosa06245-RA	plut2.m8.13126.m1
OG0007891	Mcavernosa32020-RA	plut2.m8.13240.m1
OG0007893	Mcavernosa20575-RA	plut2.m8.28764.m1
OG0007894	Mcavernosa20577-RA	plut2.m8.28771.m1
OG0007895	Mcavernosa00035-RA	plut2.m8.21628.m1
OG0007896	Mcavernosa00031-RA	plut2.m8.21641.m1
OG0007897	Mcavernosa01448-RA	plut2.m8.682.m1
OG0007898	Mcavernosa01431-RA	plut2.m8.699.m1
OG0007900	Mcavernosa17992-RA	plut2.m8.16735.m1
OG0007901	Mcavernosa15579-RA	plut2.m8.698.m1
OG0007902	Mcavernosa00090-RA	plut2.m8.13911.m1
OG0007904	Mcavernosa12990-RA	plut2.m8.23979.m1
OG0007905	Mcavernosa12988-RA	plut2.m8.23975.m1
OG0007908	Mcavernosa09183-RA	plut2.m8.8838.m1
OG0007909	Mcavernosa14975-RA	plut2.m8.8836.m1
OG0007910	Mcavernosa09184-RA	plut2.m8.8837.m1
OG0007911	Mcavernosa09187-RA	plut2.m8.8828.m1
OG0007912	Mcavernosa09208-RA	plut2.m8.24415.m1
OG0007913	Mcavernosa09209-RA	plut2.m8.24412.m1
OG0007914	Mcavernosa09205-RA	plut2.m8.24414.m1
OG0007915	Mcavernosa01767-RA	plut2.m8.4437.m1
OG0007916	Mcavernosa17885-RA	plut2.m8.4463.m1
OG0007918	Mcavernosa19582-RA	jamg1.model.Sc0000060.105
OG0007919	Mcavernosa19581-RA	jamg1.model.Sc0000060.109
OG0007921	Mcavernosa09543-RA, Mcavernosa09544-RA	plut2.m8.5278.m1
OG0007922	Mcavernosa27340-RA	plut2.m8.15997.m1
OG0007925	Mcavernosa15190-RA	plut2.m8.424.m1
OG0007926	Mcavernosa15196-RA	plut2.m8.417.m1
OG0007927	Mcavernosa15198-RA	plut2.m8.416.m1
OG0007928	Mcavernosa15206-RA	plut2.m8.414.m1
OG0007929	Mcavernosa15224-RA	plut2.m8.401.m1
OG0007930	Mcavernosa15218-RA	plut2.m8.408.m1, plut2.m8.404.m1, jamg1.model.Sc0000002.58
OG0007931	Mcavernosa28739-RA	plut2.m8.13080.m1, plut2.m8.3826.m1
OG0007932	Mcavernosa28740-RA	plut2.m8.3823.m1, plut2.m8.17035.m1
OG0007933	Mcavernosa34260-RA	plut2.m8.3825.m1
OG0007935	Mcavernosa11038-RA	plut2.m8.8225.m1
OG0007936	Mcavernosa07739-RA, Mcavernosa01491-RA	jamg1.model.Sc0000087.68
OG0007937	Mcavernosa34168-RA, Mcavernosa01493-RA	plut2.m8.8221.m1
OG0007938	Mcavernosa25422-RA, Mcavernosa25428-RA	plut2.m8.24645.m1
OG0007939	Mcavernosa25415-RA	plut2.m8.8239.m1
OG0007940	Mcavernosa31431-RA	plut2.m8.937.m1
OG0007941	Mcavernosa25364-RA	plut2.m8.12793.m1
OG0007942	Mcavernosa15398-RA	plut2.m8.16397.m1
OG0007943	Mcavernosa15394-RA	plut2.m8.16401.m1
OG0007944	Mcavernosa15378-RA	jamg1.model.Sc0000243.12, plut2.m8.25073.m1
OG0007945	Mcavernosa15380-RA	plut2.m8.16403.m1
OG0007946	Mcavernosa15384-RA	plut2.m8.16411.m1
OG0007948	Mcavernosa15381-RA	plut2.m8.16408.m1
OG0007949	Mcavernosa20648-RA	plut2.m8.10050.m1
OG0007951	Mcavernosa26579-RA	plut2.m8.16547.m1
OG0007952	Mcavernosa26578-RA	plut2.m8.16542.m1
OG0007953	Mcavernosa07538-RA	plut2.m8.6194.m1
OG0007954	Mcavernosa29612-RA, Mcavernosa29611-RA	jamg1.model.Sc0000031.83
OG0007955	Mcavernosa19870-RA	plut2.m8.425.m1
OG0007956	Mcavernosa19869-RA	plut2.m8.426.m1
OG0007957	Mcavernosa19871-RA	plut2.m8.422.m1
OG0007958	Mcavernosa11167-RA	plut2.m8.19435.m1
OG0007959	Mcavernosa22557-RA	plut2.m8.5958.m1
OG0007961	Mcavernosa13090-RA	plut2.m8.20330.m1
OG0007962	Mcavernosa13101-RA	plut2.m8.20332.m1
OG0007963	Mcavernosa13095-RA	plut2.m8.20326.m1
OG0007964	Mcavernosa00965-RA	plut2.m8.10785.m1
OG0007965	Mcavernosa08996-RA	plut2.m8.13215.m1
OG0007966	Mcavernosa22595-RA	plut2.m8.13238.m1
OG0007967	Mcavernosa02068-RA	plut2.m8.18925.m1
OG0007968	Mcavernosa17612-RA, Mcavernosa17613-RA	plut2.m8.27285.m1
OG0007969	Mcavernosa02055-RA, Mcavernosa02056-RA	plut2.m8.23227.m1
OG0007970	Mcavernosa11612-RA	plut2.m8.22146.m1
OG0007971	Mcavernosa09014-RA	plut2.m8.25154.m1
OG0007972	Mcavernosa14127-RA	plut2.m8.27534.m1
OG0007973	Mcavernosa30778-RA	plut2.m8.20924.m1
OG0007974	Mcavernosa19029-RA	plut2.m8.2036.m1
OG0007976	Mcavernosa17526-RA, Mcavernosa32773-RA	plut2.m8.2022.m1
OG0007977	Mcavernosa17533-RA	plut2.m8.2026.m1
OG0007978	Mcavernosa11618-RA	plut2.m8.21052.m1
OG0007979	Mcavernosa11623-RA	plut2.m8.21064.m1
OG0007980	Mcavernosa02181-RA, Mcavernosa02191-RA	plut2.m8.11926.m1
OG0007981	Mcavernosa02180-RA	plut2.m8.11930.m1
OG0007982	Mcavernosa08988-RA	plut2.m8.13220.m1
OG0007983	Mcavernosa30630-RA	plut2.m8.32969.m1
OG0007985	Mcavernosa22269-RA, Mcavernosa22271-RA	plut2.m8.32971.m1
OG0007986	Mcavernosa31140-RA, Mcavernosa19146-RA	plut2.m8.33209.m1
OG0007987	Mcavernosa10913-RA	plut2.m8.32280.m1, plut2.m8.3845.m1
OG0007989	Mcavernosa09549-RA	plut2.m8.5277.m1
OG0007990	Mcavernosa08843-RA	plut2.m8.26487.m1
OG0007992	Mcavernosa09451-RA	plut2.m8.11797.m1
OG0007993	Mcavernosa10428-RA	plut2.m8.17164.m1
OG0007994	Mcavernosa10430-RA	plut2.m8.17168.m1
OG0007995	Mcavernosa10426-RA	plut2.m8.17157.m1
OG0007996	Mcavernosa10420-RA	plut2.m8.17163.m1
OG0007998	Mcavernosa31465-RA	plut2.m8.2391.m1
OG0007999	Mcavernosa31466-RA	plut2.m8.2388.m1
OG0008000	Mcavernosa08767-RA	plut2.m8.2545.m1
OG0008001	Mcavernosa24241-RA	plut2.m8.5052.m1
OG0008002	Mcavernosa10120-RA	plut2.m8.5050.m1
OG0008003	Mcavernosa28863-RA	plut2.m8.9538.m1
OG0008004	Mcavernosa28862-RA	plut2.m8.9536.m1
OG0008005	Mcavernosa06177-RA	plut2.m8.21425.m1
OG0008006	Mcavernosa12686-RA	plut2.m8.3129.m1
OG0008007	Mcavernosa12688-RA	plut2.m8.3127.m1
OG0008008	Mcavernosa24805-RA, Mcavernosa24806-RA	plut2.m8.20961.m1
OG0008009	Mcavernosa27840-RA	plut2.m8.7349.m1
OG0008010	Mcavernosa27826-RA	plut2.m8.11553.m1
OG0008011	Mcavernosa27833-RA	plut2.m8.7348.m1
OG0008012	Mcavernosa27803-RA	plut2.m8.23519.m1
OG0008013	Mcavernosa27804-RA	plut2.m8.23521.m1
OG0008014	Mcavernosa27805-RA	plut2.m8.23518.m1
OG0008016	Mcavernosa27809-RA	plut2.m8.23525.m1
OG0008017	Mcavernosa13583-RA	plut2.m8.13056.m1
OG0008019	Mcavernosa11815-RA	plut2.m8.32644.m1
OG0008020	Mcavernosa11817-RA	plut2.m8.32645.m1
OG0008021	Mcavernosa18013-RA, Mcavernosa18011-RA	plut2.m8.20698.m1
OG0008023	Mcavernosa23748-RA	plut2.m8.16166.m1
OG0008024	Mcavernosa23747-RA, Mcavernosa23742-RA	plut2.m8.16163.m1
OG0008025	Mcavernosa30568-RA	plut2.m8.31298.m1, plut2.m8.19830.m1
OG0008026	Mcavernosa04019-RA	plut2.m8.4076.m1
OG0008027	Mcavernosa29012-RA	plut2.m8.12963.m1
OG0008028	Mcavernosa13420-RA	plut2.m8.16815.m1
OG0008029	Mcavernosa22158-RA	plut2.m8.20115.m1
OG0008031	Mcavernosa00594-RA	plut2.m8.3878.m1
OG0008032	Mcavernosa05827-RA	plut2.m8.12148.m1
OG0008033	Mcavernosa05822-RA	plut2.m8.12143.m1
OG0008034	Mcavernosa23269-RA	plut2.m8.15431.m1
OG0008035	Mcavernosa30927-RA	plut2.m8.6532.m1
OG0008037	Mcavernosa34682-RA	plut2.m8.15402.m1
OG0008039	Mcavernosa07239-RA	plut2.m8.19872.m1
OG0008040	Mcavernosa07244-RA	plut2.m8.19864.m1, plut2.m8.19870.m1
OG0008041	Mcavernosa07245-RA	plut2.m8.19867.m1, plut2.m8.19874.m1
OG0008042	Mcavernosa16758-RA	plut2.m8.9452.m1
OG0008043	Mcavernosa16763-RA	plut2.m8.3274.m1
OG0008044	Mcavernosa31024-RA, Mcavernosa31026-RA	plut2.m8.12418.m1
OG0008045	Mcavernosa17261-RA	plut2.m8.23066.m1
OG0008046	Mcavernosa31789-RA, Mcavernosa31790-RA	plut2.m8.23065.m1
OG0008047	Mcavernosa31787-RA	plut2.m8.23062.m1
OG0008049	Mcavernosa01620-RA	plut2.m8.21549.m1
OG0008053	Mcavernosa22930-RA	plut2.m8.15877.m1
OG0008054	Mcavernosa00259-RA	plut2.m8.26783.m1
OG0008055	Mcavernosa10401-RA	plut2.m8.23273.m1
OG0008056	Mcavernosa10394-RA	plut2.m8.28574.m1
OG0008057	Mcavernosa17657-RA	plut2.m8.28421.m1
OG0008058	Mcavernosa09215-RA	plut2.m8.20570.m1
OG0008059	Mcavernosa09219-RA	plut2.m8.20576.m1
OG0008060	Mcavernosa26558-RA, Mcavernosa26560-RA	plut2.m8.24106.m1
OG0008061	Mcavernosa26562-RA	plut2.m8.24105.m1
OG0008062	Mcavernosa18394-RA	plut2.m8.17225.m1
OG0008063	Mcavernosa18560-RA	plut2.m8.3629.m1
OG0008064	Mcavernosa06686-RA	plut2.m8.1120.m1
OG0008066	Mcavernosa17696-RA	plut2.m8.5030.m1
OG0008067	Mcavernosa16803-RA	jamg1.model.Sc0000045.107
OG0008068	Mcavernosa18107-RA	plut2.m8.22204.m1
OG0008069	Mcavernosa20819-RA	jamg1.model.xfSc0000016.10
OG0008070	Mcavernosa20823-RA	plut2.m8.27299.m1
OG0008071	Mcavernosa27577-RA	plut2.m8.27300.m1
OG0008072	Mcavernosa27581-RA	plut2.m8.15930.m1
OG0008073	Mcavernosa20812-RA	plut2.m8.27306.m1
OG0008075	Mcavernosa31337-RA	plut2.m8.8649.m1
OG0008077	Mcavernosa09323-RA	plut2.m8.9342.m1
OG0008078	Mcavernosa16648-RA	plut2.m8.29158.m1
OG0008079	Mcavernosa16657-RA	plut2.m8.27808.m1
OG0008080	Mcavernosa16642-RA	plut2.m8.24970.m1
OG0008081	Mcavernosa15817-RA	plut2.m8.26709.m1
OG0008082	Mcavernosa08074-RA	plut2.m8.3749.m1
OG0008084	Mcavernosa34713-RA, Mcavernosa06156-RA	plut2.m8.26699.m1
OG0008085	Mcavernosa03257-RA	plut2.m8.24195.m1
OG0008087	Mcavernosa17269-RA	plut2.m8.16582.m1
OG0008088	Mcavernosa08427-RA	plut2.m8.12642.m1
OG0008089	Mcavernosa08428-RA	plut2.m8.12643.m1
OG0008090	Mcavernosa28583-RA	plut2.m8.12649.m1
OG0008091	Mcavernosa27750-RA	plut2.m8.28567.m1
OG0008092	Mcavernosa17365-RA	plut2.m8.28561.m1
OG0008093	Mcavernosa27817-RA	jamg1.model.Sc0000144.48
OG0008094	Mcavernosa25575-RA	plut2.m8.13282.m1
OG0008095	Mcavernosa25578-RA	plut2.m8.13284.m1
OG0008096	Mcavernosa10535-RA	plut2.m8.19211.m1
OG0008098	Mcavernosa00527-RA	plut2.m8.30454.m1
OG0008099	Mcavernosa00526-RA	plut2.m8.29997.m1
OG0008100	Mcavernosa28364-RA	plut2.m8.22907.m1
OG0008101	Mcavernosa24489-RA	plut2.m8.7978.m1
OG0008102	Mcavernosa24483-RA	plut2.m8.7974.m1
OG0008104	Mcavernosa16386-RA, Mcavernosa16384-RA	plut2.m8.20596.m1
OG0008105	Mcavernosa03946-RA	plut2.m8.2502.m1
OG0008106	Mcavernosa07901-RA	plut2.m8.21649.m1
OG0008107	Mcavernosa07895-RA	plut2.m8.32461.m1
OG0008108	Mcavernosa07894-RA	plut2.m8.32462.m1, plut2.m8.32463.m1
OG0008109	Mcavernosa07897-RA	plut2.m8.32465.m1
OG0008110	Mcavernosa13599-RA	plut2.m8.32422.m1
OG0008111	Mcavernosa12857-RA, Mcavernosa12854-RA	plut2.m8.32592.m1
OG0008112	Mcavernosa16875-RA	plut2.m8.12719.m1
OG0008113	Mcavernosa16880-RA, Mcavernosa16879-RA	plut2.m8.12717.m1
OG0008114	Mcavernosa01804-RA	plut2.m8.6650.m1
OG0008115	Mcavernosa32502-RA	plut2.m8.91.m1
OG0008117	Mcavernosa32497-RA	plut2.m8.11856.m1
OG0008118	Mcavernosa22531-RA	plut2.m8.124.m1
OG0008119	Mcavernosa24880-RA	plut2.m8.2446.m1
OG0008120	Mcavernosa24879-RA	plut2.m8.2444.m1
OG0008121	Mcavernosa11041-RA	plut2.m8.25863.m1
OG0008123	Mcavernosa14459-RA	plut2.m8.8421.m1
OG0008124	Mcavernosa14458-RA	plut2.m8.8423.m1
OG0008125	Mcavernosa27422-RA	plut2.m8.8425.m1
OG0008126	Mcavernosa20454-RA	plut2.m8.4475.m1
OG0008127	Mcavernosa00672-RA	plut2.m8.10938.m1
OG0008128	Mcavernosa13422-RA	plut2.m8.16817.m1
OG0008129	Mcavernosa13416-RA	plut2.m8.16809.m1
OG0008130	Mcavernosa13426-RA, Mcavernosa13427-RA	plut2.m8.16825.m1
OG0008131	Mcavernosa12413-RA, Mcavernosa33569-RA	plut2.m8.10758.m1
OG0008132	Mcavernosa15246-RA	plut2.m8.26569.m1
OG0008133	Mcavernosa03593-RA	plut2.m8.1511.m1
OG0008134	Mcavernosa03590-RA	plut2.m8.1516.m1
OG0008135	Mcavernosa02232-RA	plut2.m8.21740.m1
OG0008136	Mcavernosa02154-RA	plut2.m8.1540.m1
OG0008138	Mcavernosa15733-RA	plut2.m8.26859.m1
OG0008139	Mcavernosa15730-RA	plut2.m8.26855.m1
