"","gene_id","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","Treatment_Compare","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"635","LOC113675826",23,17,32,13,30,42,35,28,24,23,19,11,"CvsHigh","GO:0051087",0.043664203796023,1,1,1,"chaperone binding","MF"
"648","LOC113676057",126,61,412,494,190,149,125,107,352,483,166,167,"CvsHigh","GO:0005242",0.0383165629591646,1,1,1,"inward rectifier potassium channel activity","MF"
"705","LOC113677292",106,187,58,11,313,89,260,150,29,22,61,169,"CvsMid","GO:0015299",0.0316292972091828,1,1,1,"solute:proton antiporter activity","MF"
"706","LOC113677292",106,187,58,11,313,89,260,150,29,22,61,169,"CvsMid","GO:0015385",0.0316292972091828,1,1,1,"sodium:proton antiporter activity","MF"
"719","LOC113677330",1141,467,668,688,1071,1216,1347,1034,923,979,1112,951,"CvsMid","GO:0008236",0.0316204418445023,1,1,1,"serine-type peptidase activity","MF"
"722","LOC113677344",58,38,70,54,89,67,96,93,71,76,66,292,"CvsMid","GO:0008253",0.0316406052661685,1,1,1,"5'-nucleotidase activity","MF"
"724","LOC113677344",58,38,70,54,89,67,96,93,71,76,66,292,"CvsMid","GO:0000287",0.0316406052661685,1,1,1,"magnesium ion binding","MF"
"753","LOC113677848",64,30,55,66,92,141,108,70,76,76,115,45,"CvsMid","GO:0003712",0.0446277512374732,1,1,1,"transcription coregulator activity","MF"
"784","LOC113678576",73,97,339,316,107,182,165,137,402,346,148,68,"CvsMid","GO:0016757",0.031660166105912,1,1,1,"transferase activity, transferring glycosyl groups","MF"
"789","LOC113678608",908,339,2826,2355,1165,1001,522,617,2746,2549,1298,626,"CvsHigh","GO:0042284",0.0430502536344293,1,1,1,"sphingolipid delta-4 desaturase activity","MF"
"812","LOC113679057",42,81,148,74,59,121,116,188,174,78,83,52,"CvsHigh","GO:0016747",0.0316327467218657,1,1,1,"transferase activity, transferring acyl groups other than amino-acyl groups","MF"
"820","LOC113679436",29,27,41,20,24,32,33,31,35,35,20,19,"CvsHigh","GO:0018024",0.0467304525691192,1,1,1,"histone-lysine N-methyltransferase activity","MF"
"848","LOC113680204",611,355,171,304,140,821,563,737,415,348,729,507,"CvsMid","GO:0030414",0.0322415714735779,1,1,1,"peptidase inhibitor activity","MF"
"873","LOC113680594",1190,1038,190,610,1087,1351,24,1361,270,112,1265,934,"CvsMid","GO:0032422",0.0316331258735118,1,1,1,"purine-rich negative regulatory element binding","MF"
"874","LOC113680594",1190,1038,190,610,1087,1351,24,1361,270,112,1265,934,"CvsMid","GO:0000977",0.0316331258735118,1,1,1,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"876","LOC113680629",34,13,5,19,13,25,14,11,30,7,24,22,"CvsMid","GO:0008168",0.0448774076425024,1,1,1,"methyltransferase activity","MF"
"885","LOC113680964",125,75,364,368,102,119,107,160,428,431,216,113,"CvsHigh","GO:0031072",0.0320133158882423,1,1,1,"heat shock protein binding","MF"
"887","LOC113680964",125,75,364,368,102,119,107,160,428,431,216,113,"CvsHigh","GO:0051082",0.0320133158882423,1,1,1,"unfolded protein binding","MF"
"892","LOC113681196",509,455,1977,3572,223,506,826,1007,2733,3013,976,471,"CvsMid","GO:0003993",0.0316387083846393,1,1,1,"acid phosphatase activity","MF"
"924","LOC113681529",185,88,433,338,176,164,155,157,415,432,237,155,"CvsHigh","GO:0005096",0.0316344472285613,1,1,1,"GTPase activator activity","MF"
"925","LOC113681648",6487,2601,26240,23283,4447,9038,5699,5119,19861,21415,9717,7785,"CvsHigh","GO:0008234",0.0446178370458383,1,1,1,"cysteine-type peptidase activity","MF"
"955","LOC113682506",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633,"CvsHigh","GO:0051536",0.0328271738072485,1,1,1,"iron-sulfur cluster binding","MF"
"957","LOC113682506",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633,"CvsHigh","GO:0009055",0.0328271738072485,1,1,1,"electron transfer activity","MF"
"973","LOC113682626",200,103,48,112,112,231,265,252,37,102,333,139,"CvsMid","GO:0004176",0.0316330880291484,1,1,1,"ATP-dependent peptidase activity","MF"
"997","LOC113683360",110,114,32,9,76,132,132,53,51,15,163,79,"CvsMid","GO:0003899",0.0342602237955168,1,1,1,"DNA-directed 5'-3' RNA polymerase activity","MF"
"1002","LOC113683409",367,581,111,77,490,834,310,381,7,290,334,458,"CvsMid","GO:0004114",0.0316234916687775,1,1,1,"3',5'-cyclic-nucleotide phosphodiesterase activity","MF"
"1003","LOC113683409",367,581,111,77,490,834,310,381,7,290,334,458,"CvsMid","GO:0008081",0.0316234916687775,1,1,1,"phosphoric diester hydrolase activity","MF"
"1009","LOC113683602",32,82,149,190,27,89,96,106,172,267,40,25,"CvsMid","GO:0061608",0.0318656186508255,1,1,1,"nuclear import signal receptor activity","MF"
"1048","LOC113684387",704,494,122,67,662,326,548,96,59,14,773,139,"CvsMid","GO:0005201",0.0356484918960733,1,1,1,"extracellular matrix structural constituent","MF"
"1077","LOC113685074",25,30,705,430,180,39,164,38,1145,653,360,26,"CvsHigh","GO:0000976",0.0316345496713618,1,1,1,"transcription regulatory region sequence-specific DNA binding","MF"
"1143","LOC113686913",153,101,119,151,108,188,117,79,134,121,170,99,"CvsMid","GO:0008239",0.0316293690668851,1,1,1,"dipeptidyl-peptidase activity","MF"
