"","gene","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"Acerv_evm.TU.Segkk3395_pilon.4","Acerv_evm.TU.Segkk3395_pilon.4",74,63,50,79,161,76,112,91,73,99,43,163,29,"Segkk3395_pilon","EVM","CDS",17152,17359,".","+","0","ID=cds.Acerv_evm.model.Segkk3395_pilon.4;Parent=Acerv_evm.model.Segkk3395_pilon.4;transcript_id=cds.Acerv_evm.model.Segkk3395_pilon.4"
"Acerv_evm.TU.Segkk3397_pilon.3","Acerv_evm.TU.Segkk3397_pilon.3",54,46,54,27,44,32,31,25,25,44,28,47,16,"Segkk3397_pilon","EVM","stop_codon",25745,25747,".","+",".","ID=Acerv_evm.model.Segkk3397_pilon.3:stop;Parent=Acerv_evm.model.Segkk3397_pilon.3;transcript_id=Acerv_evm.model.Segkk3397_pilon.3:stop"
"Acerv_evm.TU.Segkk3405_pilon.7","Acerv_evm.TU.Segkk3405_pilon.7",112,40,42,81,158,65,91,56,62,103,35,128,39,"Segkk3405_pilon","EVM","CDS",65812,65847,".","+","0","ID=cds.Acerv_evm.model.Segkk3405_pilon.7;Parent=Acerv_evm.model.Segkk3405_pilon.7;transcript_id=cds.Acerv_evm.model.Segkk3405_pilon.7"
"Acerv_evm.TU.Segkk3412_pilon.6","Acerv_evm.TU.Segkk3412_pilon.6",1652,2377,939,716,909,1391,460,2015,619,2495,379,1147,931,"Segkk3412_pilon","EVM","start_codon",45389,45391,".","+",".","ID=Acerv_evm.model.Segkk3412_pilon.6:start;Parent=Acerv_evm.model.Segkk3412_pilon.6;transcript_id=Acerv_evm.model.Segkk3412_pilon.6:start"
"Acerv_evm.TU.Segkk3417_pilon.5","Acerv_evm.TU.Segkk3417_pilon.5",18,112,136,10,21,16,20,111,20,23,8,25,9,"Segkk3417_pilon","EVM","stop_codon",59616,59618,".","+",".","ID=Acerv_evm.model.Segkk3417_pilon.5:stop;Parent=Acerv_evm.model.Segkk3417_pilon.5;transcript_id=Acerv_evm.model.Segkk3417_pilon.5:stop"
"Acerv_evm.TU.Segkk3419_pilon.10","Acerv_evm.TU.Segkk3419_pilon.10",24,14,10,16,33,13,12,0,8,27,12,27,13,"Segkk3419_pilon","EVM","mRNA",102986,103917,".","+",".","ID=Acerv_evm.model.Segkk3419_pilon.10;Parent=Acerv_evm.TU.Segkk3419_pilon.10;product=PREDICTED:_uncharacterized_protein_LOC107343216_;transcript_id=Acerv_evm.model.Segkk3419_pilon.10"
"Acerv_evm.TU.Segkk3422_pilon.23","Acerv_evm.TU.Segkk3422_pilon.23",799,15,8,471,680,524,537,22,402,449,304,1079,353,"Segkk3422_pilon","EVM","exon",237015,237125,".","+",".","ID=Acerv_evm.model.Segkk3422_pilon.23.exon2;Parent=Acerv_evm.model.Segkk3422_pilon.23;transcript_id=Acerv_evm.model.Segkk3422_pilon.23.exon2"
"Acerv_evm.TU.Segkk3450_pilon.3","Acerv_evm.TU.Segkk3450_pilon.3",604,740,852,488,996,368,608,542,226,215,325,838,213,"Segkk3450_pilon","EVM","exon",22179,23611,".","+",".","ID=Acerv_evm.model.Segkk3450_pilon.3.exon1;Parent=Acerv_evm.model.Segkk3450_pilon.3;transcript_id=Acerv_evm.model.Segkk3450_pilon.3.exon1"
"Acerv_evm.TU.Segkk3453_pilon.14","Acerv_evm.TU.Segkk3453_pilon.14",96,226,210,37,74,46,34,187,28,35,17,38,26,"Segkk3453_pilon","EVM","CDS",173921,174051,".","+","1","ID=cds.Acerv_evm.model.Segkk3453_pilon.14;Parent=Acerv_evm.model.Segkk3453_pilon.14;transcript_id=cds.Acerv_evm.model.Segkk3453_pilon.14"
"Acerv_evm.TU.Segkk3453_pilon.19","Acerv_evm.TU.Segkk3453_pilon.19",51,32,29,33,67,29,59,47,29,23,18,59,20,"Segkk3453_pilon","EVM","CDS",233652,235696,".","+","2","ID=cds.Acerv_evm.model.Segkk3453_pilon.19;Parent=Acerv_evm.model.Segkk3453_pilon.19;transcript_id=cds.Acerv_evm.model.Segkk3453_pilon.19"
"Acerv_evm.TU.Segkk3454_pilon.21","Acerv_evm.TU.Segkk3454_pilon.21",52,433,437,26,65,32,40,315,32,38,26,39,14,"Segkk3454_pilon","EVM","gene",197071,197888,".","+",".","ID=Acerv_evm.TU.Segkk3454_pilon.21;Name=Acerv_gene.model.Segkk3454_pilon.21"
"Acerv_evm.TU.Segkk3463_pilon.1","Acerv_evm.TU.Segkk3463_pilon.1",235,525,305,212,363,132,268,316,119,64,152,304,78,"Segkk3463_pilon","EVM","mRNA",112,8837,".","-",".","ID=Acerv_evm.model.Segkk3463_pilon.1;Parent=Acerv_evm.TU.Segkk3463_pilon.1;product=Neural_cell_adhesion_molecule_1_;transcript_id=Acerv_evm.model.Segkk3463_pilon.1"
"Acerv_evm.TU.Segkk3493_pilon.1","Acerv_evm.TU.Segkk3493_pilon.1",165,89,257,176,261,106,254,166,123,75,123,178,68,"Segkk3493_pilon","EVM","exon",3453,3476,".","+",".","ID=Acerv_evm.model.Segkk3493_pilon.1.exon1;Parent=Acerv_evm.model.Segkk3493_pilon.1;transcript_id=Acerv_evm.model.Segkk3493_pilon.1.exon1"
"Acerv_evm.TU.Segkk3525_pilon.1","Acerv_evm.TU.Segkk3525_pilon.1",48,19,11,27,58,21,24,9,28,39,27,45,10,"Segkk3525_pilon","EVM","CDS",11791,12415,".","+","0","ID=cds.Acerv_evm.model.Segkk3525_pilon.1;Parent=Acerv_evm.model.Segkk3525_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk3525_pilon.1"
"Acerv_evm.TU.Segkk3525_pilon.11","Acerv_evm.TU.Segkk3525_pilon.11",296,663,504,236,342,243,251,488,202,162,171,475,131,"Segkk3525_pilon","EVM","exon",80029,80080,".","+",".","ID=Acerv_evm.model.Segkk3525_pilon.11.exon12;Parent=Acerv_evm.model.Segkk3525_pilon.11;transcript_id=Acerv_evm.model.Segkk3525_pilon.11.exon12"
"Acerv_evm.TU.Segkk3538_pilon.3","Acerv_evm.TU.Segkk3538_pilon.3",363,439,545,261,436,263,333,445,217,362,194,407,162,"Segkk3538_pilon","EVM","exon",29173,29326,".","+",".","ID=Acerv_evm.model.Segkk3538_pilon.3.exon10;Parent=Acerv_evm.model.Segkk3538_pilon.3;transcript_id=Acerv_evm.model.Segkk3538_pilon.3.exon10"
"Acerv_evm.TU.Segkk3540_pilon.3","Acerv_evm.TU.Segkk3540_pilon.3",13,31,22,16,20,21,189,35,14,28,30,37,10,"Segkk3540_pilon","EVM","exon",45174,45182,".","+",".","ID=Acerv_evm.model.Segkk3540_pilon.3.exon3;Parent=Acerv_evm.model.Segkk3540_pilon.3;transcript_id=Acerv_evm.model.Segkk3540_pilon.3.exon3"
"Acerv_evm.TU.Segkk358_pilon.2","Acerv_evm.TU.Segkk358_pilon.2",104,110,79,61,93,65,72,63,48,74,32,82,46,"Segkk358_pilon","EVM","exon",15147,15232,".","+",".","ID=Acerv_evm.model.Segkk358_pilon.2.exon5;Parent=Acerv_evm.model.Segkk358_pilon.2;transcript_id=Acerv_evm.model.Segkk358_pilon.2.exon5"
"Acerv_evm.TU.Segkk3598_pilon.1","Acerv_evm.TU.Segkk3598_pilon.1",24,21,23,18,34,23,31,26,23,21,17,31,12,"Segkk3598_pilon","EVM","CDS",963,1090,".","-","1","ID=cds.Acerv_evm.model.Segkk3598_pilon.1;Parent=Acerv_evm.model.Segkk3598_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk3598_pilon.1"
"Acerv_evm.TU.Segkk36_pilon.2","Acerv_evm.TU.Segkk36_pilon.2",157,127,178,90,144,99,82,64,58,212,56,215,78,"Segkk36_pilon","EVM","CDS",2537,2557,".","+","0","ID=cds.Acerv_evm.model.Segkk36_pilon.2;Parent=Acerv_evm.model.Segkk36_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk36_pilon.2"
"Acerv_evm.TU.Segkk3618_pilon.7","Acerv_evm.TU.Segkk3618_pilon.7",203,184,205,169,334,110,225,46,134,138,135,238,49,"Segkk3618_pilon","EVM","exon",23954,26886,".","+",".","ID=Acerv_evm.model.Segkk3618_pilon.7.exon2;Parent=Acerv_evm.model.Segkk3618_pilon.7;transcript_id=Acerv_evm.model.Segkk3618_pilon.7.exon2"
"Acerv_evm.TU.Segkk3637_pilon.63","Acerv_evm.TU.Segkk3637_pilon.63",62,190,220,34,64,46,46,154,50,33,25,70,22,"Segkk3637_pilon","EVM","exon",646479,646632,".","-",".","ID=Acerv_evm.model.Segkk3637_pilon.63.exon2;Parent=Acerv_evm.model.Segkk3637_pilon.63;transcript_id=Acerv_evm.model.Segkk3637_pilon.63.exon2"
"Acerv_evm.TU.Segkk3644_pilon.3","Acerv_evm.TU.Segkk3644_pilon.3",1743,4054,3172,1633,2691,1169,1963,2838,903,868,1078,3174,680,"Segkk3644_pilon","EVM","gene",27823,28419,".","+",".","ID=Acerv_evm.TU.Segkk3644_pilon.3;Name=Acerv_gene.model.Segkk3644_pilon.3"
"Acerv_evm.TU.Segkk3655_pilon.19","Acerv_evm.TU.Segkk3655_pilon.19",104,231,118,50,65,78,28,188,41,154,19,101,58,"Segkk3655_pilon","EVM","stop_codon",281315,281317,".","+",".","ID=Acerv_evm.model.Segkk3655_pilon.19:stop;Parent=Acerv_evm.model.Segkk3655_pilon.19;transcript_id=Acerv_evm.model.Segkk3655_pilon.19:stop"
"Acerv_evm.TU.Segkk3655_pilon.33","Acerv_evm.TU.Segkk3655_pilon.33",1663,338,822,1313,2299,1069,1214,352,627,587,1039,2012,590,"Segkk3655_pilon","EVM","gene",436476,438224,".","+",".","ID=Acerv_evm.TU.Segkk3655_pilon.33;Name=Acerv_gene.model.Segkk3655_pilon.33"
"Acerv_evm.TU.Segkk3750_pilon.2","Acerv_evm.TU.Segkk3750_pilon.2",25,10,12,12,23,13,30,9,13,10,11,20,4,"Segkk3750_pilon","EVM","stop_codon",25667,25669,".","+",".","ID=Acerv_evm.model.Segkk3750_pilon.2:stop;Parent=Acerv_evm.model.Segkk3750_pilon.2;transcript_id=Acerv_evm.model.Segkk3750_pilon.2:stop"
"Acerv_evm.TU.Segkk384_pilon.7","Acerv_evm.TU.Segkk384_pilon.7",69,74,66,68,95,70,81,28,49,37,28,162,33,"Segkk384_pilon","EVM","exon",85249,85753,".","+",".","ID=Acerv_evm.model.Segkk384_pilon.7.exon4;Parent=Acerv_evm.model.Segkk384_pilon.7;transcript_id=Acerv_evm.model.Segkk384_pilon.7.exon4"
"Acerv_evm.TU.Segkk3844_pilon.1","Acerv_evm.TU.Segkk3844_pilon.1",152,118,124,107,187,89,106,112,91,126,57,167,65,"Segkk3844_pilon","EVM","CDS",30332,30399,".","-","2","ID=cds.Acerv_evm.model.Segkk3844_pilon.1;Parent=Acerv_evm.model.Segkk3844_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk3844_pilon.1"
"Acerv_evm.TU.Segkk3858_pilon.8","Acerv_evm.TU.Segkk3858_pilon.8",156,92,120,161,94,175,185,216,123,86,99,156,81,"Segkk3858_pilon","EVM","gene",72950,74842,".","+",".","ID=Acerv_evm.TU.Segkk3858_pilon.8;Name=Acerv_gene.model.Segkk3858_pilon.8"
"Acerv_evm.TU.Segkk3903_pilon.2","Acerv_evm.TU.Segkk3903_pilon.2",2554,3990,6951,2964,3310,1557,10419,3243,1586,861,2198,3706,978,"Segkk3903_pilon","EVM","exon",63380,63498,".","+",".","ID=Acerv_evm.model.Segkk3903_pilon.2.exon3;Parent=Acerv_evm.model.Segkk3903_pilon.2;transcript_id=Acerv_evm.model.Segkk3903_pilon.2.exon3"
"Acerv_evm.TU.Segkk3914_pilon.1","Acerv_evm.TU.Segkk3914_pilon.1",52,70,62,30,62,37,37,43,27,67,24,70,22,"Segkk3914_pilon","EVM","gene",880,3065,".","+",".","ID=Acerv_evm.TU.Segkk3914_pilon.1;Name=Acerv_gene.model.Segkk3914_pilon.1"
"Acerv_evm.TU.Segkk3937_pilon.25","Acerv_evm.TU.Segkk3937_pilon.25",54,97,117,56,78,44,167,54,28,30,67,113,12,"Segkk3937_pilon","EVM","gene",232497,249178,".","+",".","ID=Acerv_evm.TU.Segkk3937_pilon.25;Name=Acerv_gene.model.Segkk3937_pilon.25"
"Acerv_evm.TU.Segkk3940_pilon.21","Acerv_evm.TU.Segkk3940_pilon.21",190,140,150,101,172,104,102,130,63,86,90,152,56,"Segkk3940_pilon","EVM","CDS",231339,231579,".","+","1","ID=cds.Acerv_evm.model.Segkk3940_pilon.21;Parent=Acerv_evm.model.Segkk3940_pilon.21;transcript_id=cds.Acerv_evm.model.Segkk3940_pilon.21"
"Acerv_evm.TU.Segkk398_pilon.1","Acerv_evm.TU.Segkk398_pilon.1",36,11,5,19,36,14,17,8,7,12,14,32,8,"Segkk398_pilon","EVM","gene",94,2199,".","-",".","ID=Acerv_evm.TU.Segkk398_pilon.1;Name=Acerv_gene.model.Segkk398_pilon.1"
"Acerv_evm.TU.Segkk398_pilon.2","Acerv_evm.TU.Segkk398_pilon.2",26,14,7,19,38,16,17,12,9,11,15,29,9,"Segkk398_pilon","EVM","mRNA",3534,8277,".","+",".","ID=Acerv_evm.model.Segkk398_pilon.2;Parent=Acerv_evm.TU.Segkk398_pilon.2;product=Sodium-_and_chloride-dependent_GABA_transporter_1;transcript_id=Acerv_evm.model.Segkk398_pilon.2"
"Acerv_evm.TU.Segkk3996_pilon.1","Acerv_evm.TU.Segkk3996_pilon.1",86,62,67,89,149,65,92,41,65,88,49,117,28,"Segkk3996_pilon","EVM","start_codon",10272,10274,".","+",".","ID=Acerv_evm.model.Segkk3996_pilon.1:start;Parent=Acerv_evm.model.Segkk3996_pilon.1;transcript_id=Acerv_evm.model.Segkk3996_pilon.1:start"
"Acerv_evm.TU.Segkk4025_pilon.2","Acerv_evm.TU.Segkk4025_pilon.2",342,641,618,275,439,168,267,472,153,100,185,378,103,"Segkk4025_pilon","EVM","exon",19571,19666,".","+",".","ID=Acerv_evm.model.Segkk4025_pilon.2.exon2;Parent=Acerv_evm.model.Segkk4025_pilon.2;transcript_id=Acerv_evm.model.Segkk4025_pilon.2.exon2"
"Acerv_evm.TU.Segkk4047_pilon.16","Acerv_evm.TU.Segkk4047_pilon.16",366,681,959,836,624,223,3601,1127,345,202,446,344,88,"Segkk4047_pilon","EVM","exon",238971,239015,".","-",".","ID=Acerv_evm.model.Segkk4047_pilon.16.exon9;Parent=Acerv_evm.model.Segkk4047_pilon.16;transcript_id=Acerv_evm.model.Segkk4047_pilon.16.exon9"
"Acerv_evm.TU.Segkk4074_pilon.1","Acerv_evm.TU.Segkk4074_pilon.1",56,21,25,41,76,19,43,23,21,16,26,41,8,"Segkk4074_pilon","EVM","CDS",1862,1909,".","-","0","ID=cds.Acerv_evm.model.Segkk4074_pilon.1;Parent=Acerv_evm.model.Segkk4074_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk4074_pilon.1"
"Acerv_evm.TU.Segkk4113_pilon.15","Acerv_evm.TU.Segkk4113_pilon.15",227,306,367,298,464,93,276,131,73,47,139,248,54,"Segkk4113_pilon","EVM","CDS",152241,152329,".","+","0","ID=cds.Acerv_evm.model.Segkk4113_pilon.15;Parent=Acerv_evm.model.Segkk4113_pilon.15;transcript_id=cds.Acerv_evm.model.Segkk4113_pilon.15"
"Acerv_evm.TU.Segkk4122_pilon.1","Acerv_evm.TU.Segkk4122_pilon.1",61,44,54,33,68,44,40,31,38,42,23,64,23,"Segkk4122_pilon","EVM","CDS",1145,1257,".","+","0","ID=cds.Acerv_evm.model.Segkk4122_pilon.1;Parent=Acerv_evm.model.Segkk4122_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk4122_pilon.1"
"Acerv_evm.TU.Segkk4124_pilon.10","Acerv_evm.TU.Segkk4124_pilon.10",84,36,34,59,73,134,65,33,0,199,25,113,63,"Segkk4124_pilon","EVM","CDS",104715,104784,".","+","0","ID=cds.Acerv_evm.model.Segkk4124_pilon.10;Parent=Acerv_evm.model.Segkk4124_pilon.10;transcript_id=cds.Acerv_evm.model.Segkk4124_pilon.10"
"Acerv_evm.TU.Segkk4124_pilon.11","Acerv_evm.TU.Segkk4124_pilon.11",225,476,180,99,94,199,30,224,41,356,39,169,147,"Segkk4124_pilon","EVM","gene",139425,145152,".","+",".","ID=Acerv_evm.TU.Segkk4124_pilon.11;Name=Acerv_gene.model.Segkk4124_pilon.11"
"Acerv_evm.TU.Segkk4124_pilon.2","Acerv_evm.TU.Segkk4124_pilon.2",1193,3689,1317,860,971,1557,444,3545,700,2695,294,1522,1031,"Segkk4124_pilon","EVM","CDS",31455,31518,".","+","2","ID=cds.Acerv_evm.model.Segkk4124_pilon.2;Parent=Acerv_evm.model.Segkk4124_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk4124_pilon.2"
"Acerv_evm.TU.Segkk4124_pilon.3","Acerv_evm.TU.Segkk4124_pilon.3",1799,4846,1605,1047,1350,1804,608,3592,774,3152,354,1716,1127,"Segkk4124_pilon","EVM","exon",56106,56265,".","+",".","ID=Acerv_evm.model.Segkk4124_pilon.3.exon9;Parent=Acerv_evm.model.Segkk4124_pilon.3;transcript_id=Acerv_evm.model.Segkk4124_pilon.3.exon9"
"Acerv_evm.TU.Segkk4263_pilon.5","Acerv_evm.TU.Segkk4263_pilon.5",30,10,17,20,45,23,15,15,10,21,22,33,13,"Segkk4263_pilon","EVM","mRNA",35004,37082,".","+",".","ID=Acerv_evm.model.Segkk4263_pilon.5;Parent=Acerv_evm.TU.Segkk4263_pilon.5;product=PREDICTED:_uncharacterized_protein_LOC107346853_isoform_X1_;transcript_id=Acerv_evm.model.Segkk4263_pilon.5"
"Acerv_evm.TU.Segkk4265_pilon.3","Acerv_evm.TU.Segkk4265_pilon.3",25,15,19,16,23,20,10,9,13,16,13,27,14,"Segkk4265_pilon","EVM","gene",19178,25488,".","+",".","ID=Acerv_evm.TU.Segkk4265_pilon.3;Name=Acerv_gene.model.Segkk4265_pilon.3"
"Acerv_evm.TU.Segkk4281_pilon.1","Acerv_evm.TU.Segkk4281_pilon.1",44,13,19,21,36,12,19,15,17,28,18,27,5,"Segkk4281_pilon","EVM","exon",3523,4959,".","+",".","ID=Acerv_evm.model.Segkk4281_pilon.1.exon2;Parent=Acerv_evm.model.Segkk4281_pilon.1;transcript_id=Acerv_evm.model.Segkk4281_pilon.1.exon2"
"Acerv_evm.TU.Segkk4302_pilon.1","Acerv_evm.TU.Segkk4302_pilon.1",110,269,168,63,76,104,47,351,100,169,27,114,71,"Segkk4302_pilon","EVM","gene",2792,3030,".","+",".","ID=Acerv_evm.TU.Segkk4302_pilon.1;Name=Acerv_gene.model.Segkk4302_pilon.1"
"Acerv_evm.TU.Segkk4302_pilon.20","Acerv_evm.TU.Segkk4302_pilon.20",68,150,143,32,57,0,35,101,24,16,20,62,20,"Segkk4302_pilon","EVM","exon",156015,156128,".","+",".","ID=Acerv_evm.model.Segkk4302_pilon.20.exon3;Parent=Acerv_evm.model.Segkk4302_pilon.20;transcript_id=Acerv_evm.model.Segkk4302_pilon.20.exon3"
"Acerv_evm.TU.Segkk4318_pilon.2","Acerv_evm.TU.Segkk4318_pilon.2",38,26,39,35,60,23,47,54,20,15,31,39,13,"Segkk4318_pilon","EVM","start_codon",8297,8299,".","+",".","ID=Acerv_evm.model.Segkk4318_pilon.2:start;Parent=Acerv_evm.model.Segkk4318_pilon.2;transcript_id=Acerv_evm.model.Segkk4318_pilon.2:start"
"Acerv_evm.TU.Segkk4345_pilon.12","Acerv_evm.TU.Segkk4345_pilon.12",64,73,65,46,62,50,49,34,19,75,27,83,30,"Segkk4345_pilon","EVM","exon",53581,55332,".","+",".","ID=Acerv_evm.model.Segkk4345_pilon.12.exon1;Parent=Acerv_evm.model.Segkk4345_pilon.12;transcript_id=Acerv_evm.model.Segkk4345_pilon.12.exon1"
"Acerv_evm.TU.Segkk437_pilon.4","Acerv_evm.TU.Segkk437_pilon.4",31,114,63,13,18,28,50,251,23,46,14,19,16,"Segkk437_pilon","EVM","mRNA",25099,26265,".","+",".","ID=Acerv_evm.model.Segkk437_pilon.4;Parent=Acerv_evm.TU.Segkk437_pilon.4;product=PREDICTED:_vicilin-like_seed_storage_protein_At2g18540_;transcript_id=Acerv_evm.model.Segkk437_pilon.4"
"Acerv_evm.TU.Segkk451_pilon.2","Acerv_evm.TU.Segkk451_pilon.2",457,739,877,672,925,269,468,513,184,167,403,570,118,"Segkk451_pilon","EVM","exon",7823,7890,".","+",".","ID=Acerv_evm.model.Segkk451_pilon.2.exon5;Parent=Acerv_evm.model.Segkk451_pilon.2;transcript_id=Acerv_evm.model.Segkk451_pilon.2.exon5"
"Acerv_evm.TU.Segkk454_pilon.2","Acerv_evm.TU.Segkk454_pilon.2",297,582,334,231,189,427,94,455,195,933,102,398,267,"Segkk454_pilon","EVM","stop_codon",20168,20170,".","+",".","ID=Acerv_evm.model.Segkk454_pilon.2:stop;Parent=Acerv_evm.model.Segkk454_pilon.2;transcript_id=Acerv_evm.model.Segkk454_pilon.2:stop"
"Acerv_evm.TU.Segkk481_pilon.1","Acerv_evm.TU.Segkk481_pilon.1",50,34,38,34,69,18,37,23,13,29,28,45,10,"Segkk481_pilon","EVM","CDS",813,988,".","+","2","ID=cds.Acerv_evm.model.Segkk481_pilon.1;Parent=Acerv_evm.model.Segkk481_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk481_pilon.1"
"Acerv_evm.TU.Segkk539_pilon.1","Acerv_evm.TU.Segkk539_pilon.1",714,1407,1851,407,770,443,469,1519,408,330,207,730,377,"Segkk539_pilon","EVM","CDS",1921,2163,".","+","2","ID=cds.Acerv_evm.model.Segkk539_pilon.1;Parent=Acerv_evm.model.Segkk539_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk539_pilon.1"
"Acerv_evm.TU.Segkk551_pilon.2","Acerv_evm.TU.Segkk551_pilon.2",51,97,46,37,60,58,38,53,17,62,25,64,23,"Segkk551_pilon","EVM","CDS",10863,11357,".","+","0","ID=cds.Acerv_evm.model.Segkk551_pilon.2;Parent=Acerv_evm.model.Segkk551_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk551_pilon.2"
"Acerv_evm.TU.Segkk575_pilon.2","Acerv_evm.TU.Segkk575_pilon.2",206,140,180,121,238,93,112,147,70,49,134,187,55,"Segkk575_pilon","EVM","start_codon",5190,5192,".","+",".","ID=Acerv_evm.model.Segkk575_pilon.2:start;Parent=Acerv_evm.model.Segkk575_pilon.2;transcript_id=Acerv_evm.model.Segkk575_pilon.2:start"
"Acerv_evm.TU.Segkk580_pilon.3","Acerv_evm.TU.Segkk580_pilon.3",133,334,196,88,112,121,49,235,66,228,35,138,101,"Segkk580_pilon","EVM","exon",15085,16557,".","+",".","ID=Acerv_evm.model.Segkk580_pilon.3.exon1;Parent=Acerv_evm.model.Segkk580_pilon.3;transcript_id=Acerv_evm.model.Segkk580_pilon.3.exon1"
"Acerv_evm.TU.Segkk642_pilon.42","Acerv_evm.TU.Segkk642_pilon.42",82,135,66,51,48,104,49,151,46,219,29,85,50,"Segkk642_pilon","EVM","exon",409531,409698,".","+",".","ID=Acerv_evm.model.Segkk642_pilon.42.exon1;Parent=Acerv_evm.model.Segkk642_pilon.42;transcript_id=Acerv_evm.model.Segkk642_pilon.42.exon1"
"Acerv_evm.TU.Segkk642_pilon.43","Acerv_evm.TU.Segkk642_pilon.43",56,86,39,62,40,82,35,51,28,196,31,87,52,"Segkk642_pilon","EVM","gene",424198,425597,".","+",".","ID=Acerv_evm.TU.Segkk642_pilon.43;Name=Acerv_gene.model.Segkk642_pilon.43"
"Acerv_evm.TU.Segkk657_pilon.10","Acerv_evm.TU.Segkk657_pilon.10",170,353,330,96,183,161,74,264,149,225,58,147,105,"Segkk657_pilon","EVM","gene",54148,59168,".","+",".","ID=Acerv_evm.TU.Segkk657_pilon.10;Name=Acerv_gene.model.Segkk657_pilon.10"
"Acerv_evm.TU.Segkk669_pilon.5","Acerv_evm.TU.Segkk669_pilon.5",558,1210,1064,293,512,308,326,1124,284,391,183,576,185,"Segkk669_pilon","EVM","exon",39387,39478,".","+",".","ID=Acerv_evm.model.Segkk669_pilon.5.exon4;Parent=Acerv_evm.model.Segkk669_pilon.5;transcript_id=Acerv_evm.model.Segkk669_pilon.5.exon4"
"Acerv_evm.TU.Segkk671_pilon.1","Acerv_evm.TU.Segkk671_pilon.1",370,633,725,190,368,322,122,555,180,352,100,347,240,"Segkk671_pilon","EVM","CDS",9064,9157,".","+","0","ID=cds.Acerv_evm.model.Segkk671_pilon.1;Parent=Acerv_evm.model.Segkk671_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk671_pilon.1"
"Acerv_evm.TU.Segkk673_pilon.1","Acerv_evm.TU.Segkk673_pilon.1",26,14,13,20,40,18,17,15,6,15,12,25,7,"Segkk673_pilon","EVM","gene",3393,4588,".","-",".","ID=Acerv_evm.TU.Segkk673_pilon.1;Name=Acerv_gene.model.Segkk673_pilon.1"
"Acerv_evm.TU.Segkk68_pilon.68","Acerv_evm.TU.Segkk68_pilon.68",600,1037,623,906,1166,714,1340,862,158,516,858,2114,480,"Segkk68_pilon","EVM","gene",699995,700888,".","+",".","ID=Acerv_evm.TU.Segkk68_pilon.68;Name=Acerv_gene.model.Segkk68_pilon.68"
"Acerv_evm.TU.Segkk791_pilon.1","Acerv_evm.TU.Segkk791_pilon.1",475,1448,711,338,363,483,223,776,144,846,123,472,290,"Segkk791_pilon","EVM","exon",5921,6034,".","+",".","ID=Acerv_evm.model.Segkk791_pilon.1.exon8;Parent=Acerv_evm.model.Segkk791_pilon.1;transcript_id=Acerv_evm.model.Segkk791_pilon.1.exon8"
"Acerv_evm.TU.Segkk826_pilon.10","Acerv_evm.TU.Segkk826_pilon.10",283,1071,1127,171,327,184,286,958,199,327,141,408,140,"Segkk826_pilon","EVM","CDS",78425,78782,".","+","0","ID=cds.Acerv_evm.model.Segkk826_pilon.10;Parent=Acerv_evm.model.Segkk826_pilon.10;transcript_id=cds.Acerv_evm.model.Segkk826_pilon.10"
"Acerv_evm.TU.Segkk893_pilon.2","Acerv_evm.TU.Segkk893_pilon.2",265,423,381,227,444,235,281,380,180,143,208,431,132,"Segkk893_pilon","EVM","exon",12708,12862,".","+",".","ID=Acerv_evm.model.Segkk893_pilon.2.exon3;Parent=Acerv_evm.model.Segkk893_pilon.2;transcript_id=Acerv_evm.model.Segkk893_pilon.2.exon3"
"Acerv_evm.TU.Segkk905_pilon.19","Acerv_evm.TU.Segkk905_pilon.19",202,429,349,184,312,109,176,307,93,80,128,350,73,"Segkk905_pilon","EVM","CDS",236404,236675,".","+","1","ID=cds.Acerv_evm.model.Segkk905_pilon.19;Parent=Acerv_evm.model.Segkk905_pilon.19;transcript_id=cds.Acerv_evm.model.Segkk905_pilon.19"
"Acerv_evm.TU.Segkk925_pilon.1","Acerv_evm.TU.Segkk925_pilon.1",482,922,797,258,411,318,282,795,268,384,166,436,231,"Segkk925_pilon","EVM","CDS",22111,22176,".","+","0","ID=cds.Acerv_evm.model.Segkk925_pilon.1;Parent=Acerv_evm.model.Segkk925_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk925_pilon.1"
